"GSM_ID","Sample_Name","Condition","GSE","Platform"
"GSM2049057","Patient 1 Normal","Control","GSE77314","Illumina Genome Analyzer (GPL9052)"
"GSM2049058","Patient 2 Normal","Control","GSE77314","Illumina Genome Analyzer (GPL9052)"
"GSM2049059","Patient 3 Normal","Control","GSE77314","Illumina Genome Analyzer (GPL9052)"
"GSM2049060","Patient 4 Normal","Control","GSE77314","Illumina Genome Analyzer (GPL9052)"
"GSM2049061","Patient 5 Normal","Control","GSE77314","Illumina Genome Analyzer (GPL9052)"
"GSM2049062","Patient 6 Normal","Control","GSE77314","Illumina Genome Analyzer (GPL9052)"
"GSM2049063","Patient 7 Normal","Control","GSE77314","Illumina Genome Analyzer (GPL9052)"
"GSM2049064","Patient 8 Normal","Control","GSE77314","Illumina Genome Analyzer (GPL9052)"
"GSM2049065","Patient 9 Normal","Control","GSE77314","Illumina Genome Analyzer (GPL9052)"
"GSM2049066","Patient 10 Normal","Control","GSE77314","Illumina Genome Analyzer (GPL9052)"
"GSM2049067","Patient 11 Normal","Control","GSE77314","Illumina Genome Analyzer (GPL9052)"
"GSM2049068","Patient 12 Normal","Control","GSE77314","Illumina Genome Analyzer (GPL9052)"
"GSM2049069","Patient 13 Normal","Control","GSE77314","Illumina Genome Analyzer (GPL9052)"
"GSM2049070","Patient 14 Normal","Control","GSE77314","Illumina Genome Analyzer (GPL9052)"
"GSM2049071","Patient 15 Normal","Control","GSE77314","Illumina Genome Analyzer (GPL9052)"
"GSM2049072","Patient 16 Normal","Control","GSE77314","Illumina Genome Analyzer (GPL9052)"
"GSM2049073","Patient 17 Normal","Control","GSE77314","Illumina Genome Analyzer (GPL9052)"
"GSM2049074","Patient 18 Normal","Control","GSE77314","Illumina Genome Analyzer (GPL9052)"
"GSM2049075","Patient 19 Normal","Control","GSE77314","Illumina Genome Analyzer (GPL9052)"
"GSM2049076","Patient 20 Normal","Control","GSE77314","Illumina Genome Analyzer (GPL9052)"
"GSM2049077","Patient 21 Normal","Control","GSE77314","Illumina Genome Analyzer (GPL9052)"
"GSM2049078","Patient 22 Normal","Control","GSE77314","Illumina Genome Analyzer (GPL9052)"
"GSM2049079","Patient 23 Normal","Control","GSE77314","Illumina Genome Analyzer (GPL9052)"
"GSM2049080","Patient 24 Normal","Control","GSE77314","Illumina Genome Analyzer (GPL9052)"
"GSM2049081","Patient 25 Normal","Control","GSE77314","Illumina Genome Analyzer (GPL9052)"
"GSM2049082","Patient 26 Normal","Control","GSE77314","Illumina Genome Analyzer (GPL9052)"
"GSM2049083","Patient 27 Normal","Control","GSE77314","Illumina Genome Analyzer (GPL9052)"
"GSM2049084","Patient 28 Normal","Control","GSE77314","Illumina Genome Analyzer (GPL9052)"
"GSM2049085","Patient 29 Normal","Control","GSE77314","Illumina Genome Analyzer (GPL9052)"
"GSM2049086","Patient 30 Normal","Control","GSE77314","Illumina Genome Analyzer (GPL9052)"
"GSM2049087","Patient 31 Normal","Control","GSE77314","Illumina Genome Analyzer (GPL9052)"
"GSM2049088","Patient 32 Normal","Control","GSE77314","Illumina Genome Analyzer (GPL9052)"
"GSM2049089","Patient 33 Normal","Control","GSE77314","Illumina Genome Analyzer (GPL9052)"
"GSM2049090","Patient 34 Normal","Control","GSE77314","Illumina Genome Analyzer (GPL9052)"
"GSM2049091","Patient 35 Normal","Control","GSE77314","Illumina Genome Analyzer (GPL9052)"
"GSM2049092","Patient 36 Normal","Control","GSE77314","Illumina Genome Analyzer (GPL9052)"
"GSM2049093","Patient 37 Normal","Control","GSE77314","Illumina Genome Analyzer (GPL9052)"
"GSM2049094","Patient 38 Normal","Control","GSE77314","Illumina Genome Analyzer (GPL9052)"
"GSM2049095","Patient 39 Normal","Control","GSE77314","Illumina Genome Analyzer (GPL9052)"
"GSM2049096","Patient 40 Normal","Control","GSE77314","Illumina Genome Analyzer (GPL9052)"
"GSM2049097","Patient 41 Normal","Control","GSE77314","Illumina Genome Analyzer (GPL9052)"
"GSM2049098","Patient 42 Normal","Control","GSE77314","Illumina Genome Analyzer (GPL9052)"
"GSM2049099","Patient 43 Normal","Control","GSE77314","Illumina Genome Analyzer (GPL9052)"
"GSM2049100","Patient 44 Normal","Control","GSE77314","Illumina Genome Analyzer (GPL9052)"
"GSM2049101","Patient 45 Normal","Control","GSE77314","Illumina Genome Analyzer (GPL9052)"
"GSM2049102","Patient 46 Normal","Control","GSE77314","Illumina Genome Analyzer (GPL9052)"
"GSM2049103","Patient 47 Normal","Control","GSE77314","Illumina Genome Analyzer (GPL9052)"
"GSM2049104","Patient 48 Normal","Control","GSE77314","Illumina Genome Analyzer (GPL9052)"
"GSM2049105","Patient 49 Normal","Control","GSE77314","Illumina Genome Analyzer (GPL9052)"
"GSM2049106","Patient 50 Normal","Control","GSE77314","Illumina Genome Analyzer (GPL9052)"
"GSM2049107","Patient 1 Tumor","Diseased","GSE77314","Illumina Genome Analyzer (GPL9052)"
"GSM2049108","Patient 2 Tumor","Diseased","GSE77314","Illumina Genome Analyzer (GPL9052)"
"GSM2049109","Patient 3 Tumor","Diseased","GSE77314","Illumina Genome Analyzer (GPL9052)"
"GSM2049110","Patient 4 Tumor","Diseased","GSE77314","Illumina Genome Analyzer (GPL9052)"
"GSM2049111","Patient 5 Tumor","Diseased","GSE77314","Illumina Genome Analyzer (GPL9052)"
"GSM2049112","Patient 6 Tumor","Diseased","GSE77314","Illumina Genome Analyzer (GPL9052)"
"GSM2049113","Patient 7 Tumor","Diseased","GSE77314","Illumina Genome Analyzer (GPL9052)"
"GSM2049114","Patient 8 Tumor","Diseased","GSE77314","Illumina Genome Analyzer (GPL9052)"
"GSM2049115","Patient 9 Tumor","Diseased","GSE77314","Illumina Genome Analyzer (GPL9052)"
"GSM2049116","Patient 10 Tumor","Diseased","GSE77314","Illumina Genome Analyzer (GPL9052)"
