"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0016054","organic acid catabolic process",92,-0.549954410072465,-4.59142261446768,4.34617985618059e-25,5.73695741015838e-22,4.60237572138703e-22,1206,"tags=85%, list=29%, signal=62%","PAH/ACMSD/AASS/HAAO/OTC/HMGCL/GLUD1/IVD/FABP1/HGD/ARG1/CDO1/ACACB/QDPR/ECHDC2/CYP4F12/SCP2/SULT2A1/PRODH2/ACAD11/ACAT1/MLYCD/SHMT1/ECHS1/NOS1/EHHADH/PON1/GPT/GOT2/PCK2/SLC27A2/HAO1/CBS/BCKDHB/ACOX2/AGXT2/HAL/AMDHD1/PLIN5/FTCD/RIDA/ACAA2/ACADSB/DCXR/OAT/GPT2/SARDH/GCDH/ABAT/ETFDH/AGXT/LDHD/PON3/KMO/SDS/HPD/ACAA1/ACADL/BDH2/ACADS/ALDH6A1/CYP4F2/MAT1A/ALDH8A1/HOGA1/TDO2/GLS2/GSTZ1/TAT/CYP4A11/AADAT/UROC1/MFSD2A/PCK1/AKR1D1/HMGCLL1/IDO2/CYP26A1"
"GO:0046395","carboxylic acid catabolic process",92,-0.549954410072465,-4.59142261446768,4.34617985618059e-25,5.73695741015838e-22,4.60237572138703e-22,1206,"tags=85%, list=29%, signal=62%","PAH/ACMSD/AASS/HAAO/OTC/HMGCL/GLUD1/IVD/FABP1/HGD/ARG1/CDO1/ACACB/QDPR/ECHDC2/CYP4F12/SCP2/SULT2A1/PRODH2/ACAD11/ACAT1/MLYCD/SHMT1/ECHS1/NOS1/EHHADH/PON1/GPT/GOT2/PCK2/SLC27A2/HAO1/CBS/BCKDHB/ACOX2/AGXT2/HAL/AMDHD1/PLIN5/FTCD/RIDA/ACAA2/ACADSB/DCXR/OAT/GPT2/SARDH/GCDH/ABAT/ETFDH/AGXT/LDHD/PON3/KMO/SDS/HPD/ACAA1/ACADL/BDH2/ACADS/ALDH6A1/CYP4F2/MAT1A/ALDH8A1/HOGA1/TDO2/GLS2/GSTZ1/TAT/CYP4A11/AADAT/UROC1/MFSD2A/PCK1/AKR1D1/HMGCLL1/IDO2/CYP26A1"
"GO:0009063","amino acid catabolic process",52,-0.58959777470655,-4.36887212724504,5.44662036701221e-16,4.79302592297074e-13,3.84512286962406e-13,1206,"tags=90%, list=29%, signal=65%","PAH/ACMSD/AASS/HAAO/OTC/HMGCL/GLUD1/IVD/HGD/ARG1/CDO1/QDPR/PRODH2/ACAT1/SHMT1/ECHS1/NOS1/GPT/GOT2/CBS/BCKDHB/AGXT2/HAL/AMDHD1/FTCD/RIDA/ACADSB/OAT/GPT2/SARDH/ABAT/AGXT/KMO/SDS/HPD/ALDH6A1/MAT1A/ALDH8A1/HOGA1/TDO2/GLS2/GSTZ1/TAT/AADAT/UROC1/HMGCLL1/IDO2"
"GO:0006520","amino acid metabolic process",90,-0.435454265231984,-3.64219831958538,9.39444613777297e-16,6.20033445093016e-13,4.97411200768401e-13,1206,"tags=76%, list=29%, signal=55%","PAH/ACMSD/AASS/MMUT/HAAO/OTC/ART4/HMGCL/GLUD1/IVD/HGD/ARG1/CDO1/QDPR/PRODH2/ACAT1/MTHFD1/SHMT1/ECHS1/NOS1/GPT/GOT2/CPS1/ASL/MSRA/HAO1/CBS/BCKDHB/AGXT2/HAL/AMDHD1/FTCD/RIDA/ACADSB/OAT/GPT2/SARDH/GGT5/GCDH/ABAT/IYD/AGXT/KMO/SDS/HPD/ALDH6A1/GNMT/MAT1A/BHMT/ALDH8A1/HOGA1/CTH/TDO2/GLS2/ASS1/GLYATL1/GSTZ1/GLYAT/TAT/ASPA/AADAT/UROC1/ASPG/HMGCLL1/TTC36/IDO2/INS/TH"
"GO:1901606","alpha-amino acid catabolic process",49,-0.582192438923598,-4.14361818146478,4.9814930300885e-15,2.63022831988673e-12,2.11005557400801e-12,1206,"tags=90%, list=29%, signal=65%","PAH/ACMSD/AASS/HAAO/OTC/HMGCL/GLUD1/IVD/HGD/ARG1/CDO1/QDPR/PRODH2/ACAT1/SHMT1/NOS1/GPT/GOT2/CBS/AGXT2/HAL/AMDHD1/FTCD/RIDA/ACADSB/OAT/GPT2/SARDH/AGXT/KMO/SDS/HPD/ALDH6A1/MAT1A/ALDH8A1/HOGA1/TDO2/GLS2/GSTZ1/TAT/AADAT/UROC1/HMGCLL1/IDO2"
"GO:1901605","alpha-amino acid metabolic process",80,-0.450608569113949,-3.95735890596658,4.42611567341662e-14,1.94749089630331e-11,1.5623411815639e-11,1206,"tags=79%, list=29%, signal=57%","PAH/ACMSD/AASS/MMUT/HAAO/OTC/ART4/HMGCL/GLUD1/IVD/HGD/ARG1/CDO1/QDPR/PRODH2/ACAT1/MTHFD1/SHMT1/NOS1/GPT/GOT2/CPS1/ASL/MSRA/HAO1/CBS/AGXT2/HAL/AMDHD1/FTCD/RIDA/ACADSB/OAT/GPT2/SARDH/GCDH/IYD/AGXT/KMO/SDS/HPD/ALDH6A1/GNMT/MAT1A/BHMT/ALDH8A1/HOGA1/CTH/TDO2/GLS2/ASS1/GLYATL1/GSTZ1/GLYAT/TAT/ASPA/AADAT/UROC1/ASPG/HMGCLL1/TTC36/IDO2/TH"
"GO:0170033","L-amino acid metabolic process",67,-0.455211356460894,-3.76335561709686,2.79331540100791e-13,1.05347895123727e-10,8.45135426590664e-11,1206,"tags=79%, list=29%, signal=57%","PAH/ACMSD/AASS/HAAO/OTC/HMGCL/GLUD1/IVD/HGD/ARG1/CDO1/QDPR/PRODH2/MTHFD1/SHMT1/NOS1/GPT/GOT2/CPS1/ASL/MSRA/CBS/AGXT2/HAL/AMDHD1/FTCD/RIDA/OAT/GPT2/GCDH/IYD/AGXT/KMO/SDS/HPD/GNMT/MAT1A/BHMT/ALDH8A1/TDO2/GLS2/ASS1/GLYATL1/GSTZ1/TAT/ASPA/AADAT/UROC1/ASPG/HMGCLL1/TTC36/IDO2/TH"
"GO:0072329","monocarboxylic acid catabolic process",42,-0.575650056976058,-4.00793252720507,1.34073894756214e-12,3.93283424618226e-10,3.15504884502341e-10,1067,"tags=83%, list=26%, signal=63%","IVD/FABP1/ACACB/ECHDC2/CYP4F12/SCP2/SULT2A1/ACAD11/ACAT1/MLYCD/ECHS1/EHHADH/PCK2/SLC27A2/HAO1/ACOX2/AGXT2/PLIN5/ACAA2/DCXR/GCDH/ETFDH/AGXT/LDHD/ACAA1/ACADL/BDH2/ACADS/CYP4F2/HOGA1/CYP4A11/MFSD2A/PCK1/AKR1D1/CYP26A1"
"GO:0170039","proteinogenic amino acid metabolic process",69,-0.446554352304753,-3.5945530593816,1.19609230516683e-12,3.93283424618226e-10,3.15504884502341e-10,1206,"tags=78%, list=29%, signal=57%","PAH/ACMSD/AASS/HAAO/OTC/HMGCL/GLUD1/IVD/HGD/ARG1/CDO1/QDPR/PRODH2/MTHFD1/SHMT1/NOS1/GPT/GOT2/CPS1/ASL/MSRA/HAO1/CBS/AGXT2/HAL/AMDHD1/FTCD/RIDA/OAT/GPT2/GCDH/IYD/AGXT/KMO/SDS/HPD/GNMT/MAT1A/BHMT/TDO2/GLS2/ASS1/GLYATL1/GSTZ1/GLYAT/TAT/ASPA/AADAT/UROC1/ASPG/HMGCLL1/TTC36/IDO2/TH"
"GO:0170035","L-amino acid catabolic process",43,-0.563713588207035,-3.97888757674828,1.89236585241642e-12,4.99584585037936e-10,4.00783167901247e-10,1206,"tags=88%, list=29%, signal=64%","PAH/ACMSD/AASS/HAAO/HMGCL/GLUD1/IVD/HGD/ARG1/CDO1/QDPR/PRODH2/SHMT1/NOS1/GPT/GOT2/CBS/AGXT2/HAL/AMDHD1/FTCD/RIDA/OAT/GPT2/AGXT/KMO/SDS/HPD/MAT1A/ALDH8A1/TDO2/GLS2/GSTZ1/TAT/AADAT/UROC1/HMGCLL1/IDO2"
"GO:0000070","mitotic sister chromatid segregation",66,0.594264711751041,2.6733495437773,4.47885836923638e-12,1.07492600861673e-09,8.62340960660632e-10,990,"tags=68%, list=24%, signal=53%","NEK2/SKA1/CENPF/MYBL2/UBE2C/NUF2/CDC20/KIF4A/KIF18B/DLGAP5/TTK/BUB1B/MISP/KIFC1/CDK1/KIF2C/BUB1/CDCA5/CCNB1/BIRC5/TRIP13/KIF15/KIF23/CDCA8/KIF18A/SPC24/CENPI/KIF14/AURKB/SKA3/NDC80/PRC1/NCAPH/NCAPG/ZWINT/TPX2/SPC25/CENPE/CDT1/MAD2L1/UHRF1/NUSAP1/PLK1/KIF11/RACGAP1"
