"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0005694","chromosome",458,0.622445269405237,1.74125354976243,8.11548083530536e-24,2.10190953634409e-21,1.72560750392809e-21,970,"tags=48%, list=23%, signal=41%","CENPF/NEK2/TOP2A/NUF2/KIF4A/SKA1/CCNB1/CDC20/BUB1B/CDCA5/CENPA/HJURP/CDK1/MKI67/BIRC5/HMGA2/KIF2C/CDCA8/BUB1/TTK/TERT/CENPI/SPC24/PRC1/DTL/NDC80/E2F1/TRIP13/KIF18A/PITX1/EBF2/HOXA10/GINS1/NCAPH/NCAPG/CDCA2/TBX4/NEIL3/SIX1/ASF1B/AURKB/E2F8/XRCC2/MCM10/ZWINT/CENPL/PARPBP/CENPM/NUSAP1/CDC45/HOXD1/SKA3/ORC1/HOXD4/HOXD9/DSCC1/CDKN2A/SPC25/CENPW/POLQ/MCM4/E2F2/SGO2/CDT1/E2F7/WDR76/TRAIP/RAD51AP1/AURKA/PRAME/FAM111B/SP8/MAD2L1/CENPE/RFC4/MCM2/SIX2/SIX4/PLK1/ORC6/WDHD1/FEN1/EZH2/HMGA1/MCM3/H2AC13/MAFA/FOXM1/UHRF1/H3C2/MESP2/ESCO2/OTX1/HELLS/SHOX2/CIP2A/FANCD2/SPOCD1/NCAPG2/HOXD3/SGO1/BLM/MAEL/ERCC6L/GINS4/CBX2/ISX/SPDL1/CHEK1/MTBP/MCM6/H2AX/MCM8/H2AC12/CENPH/CENPK/FANCB/DYNC1I1/ETV4/H3C15/H3C14/MSH2/ACTL8/HASPIN/VPS72/H4C8/PLK4/DLX5/CENPU/PIF1/HOXD10/RECQL4/HOXA13/RAD51/H2AC17/HEY1/MSX1/H1-5/TEX11/H3C3/INCENP/RFX8/PRIM2/MYCN/HMGB2/HOXC6/H4C14/HOXC9/H4C15/TUBG1/PLCB1/TAF6/H2BC17/SMC4/HES6/PRR19/SMC1B/DMBX1/EHMT2/POTEF/DLX6/TLX1/RMI2/EVX1/MNX1/TONSL/IRX5/HES2/FANCI/TP73/H2AZ1/PRKDC/POTEE/BEND3/NKX3-2/H2BC8/SOX4/H2BC11/HROB/NSMCE2/EME1/FIRRE/BOP1/KNTC1/MMS22L/IRX3/UBQLN4/FIGNL1/H2AC16/MCM7/SOX11/LOXL2/MSL3B/DMC1/SPAG5/SCX/TLX2/KNL1/PRRX1/TFAP2A/POLD1/GINS3/OIP5/MCM5/UBE2U/NPM2/SP6/HOXD8/H2BC9/H2AC4/LHX3/H2BC7/H3C13/H3C10/BRCA1/GINS2/RFX5/CREB3L1"
"GO:0015630","microtubule cytoskeleton",230,0.674687377139286,1.86931811211068,3.33840131866224e-19,4.32322970766759e-17,3.54924771773564e-17,632,"tags=42%, list=15%, signal=38%","CENPF/NEK2/TOP2A/KIF4A/SKA1/KIFC1/CCNB1/CDC20/ASPM/KIF18B/BUB1B/DLGAP5/CKAP2L/CDK1/BIRC5/KIF2C/CDCA8/KIF20A/TTK/PRC1/DTL/ECT2/KIF14/NDC80/KIF23/CCNB2/E2F1/KIF18A/KIF15/RACGAP1/CDC6/CEP55/GTSE1/AURKB/TPX2/HMMR/XRCC2/DIAPH3/NUSAP1/CDC45/SKA3/CCNE1/KIF11/STMN1/STIL/SHCBP1/AURKA/CCNA2/PCLAF/MAD2L1/CENPE/PLK1/WDR62/MCM3/TUBB4A/TTC39A/UHRF1/CCNF/MAPT/RIBC2/ODAM/CCNE2/NAA11/CCT3/CAPG/SGO1/FAM83D/SPDL1/CHEK1/TRIM54/PEA15/H2AX/CKAP2/G6PD/MAP7D2/DYNC1I1/TUBA3C/SEPTIN3/RRAGD/TEDC2/TUBA1B/HASPIN/PLK4/CSAG1/CENPU/PSRC1/CDC7/RAD51/CTAG2/INCENP/GAS2L3/TACC3/MISP/TUBG1/TUBA1C/SNCG/TUBB3"
"GO:0005819","spindle",86,0.794976998585239,2.12582278697437,1.22741507327687e-17,1.0596683465957e-15,8.69957350182204e-16,632,"tags=67%, list=15%, signal=58%","CENPF/NEK2/KIF4A/SKA1/KIFC1/CCNB1/CDC20/ASPM/KIF18B/BUB1B/DLGAP5/CKAP2L/CDK1/BIRC5/KIF2C/CDCA8/KIF20A/TTK/PRC1/ECT2/KIF14/KIF23/KIF18A/KIF15/RACGAP1/CDC6/AURKB/TPX2/HMMR/DIAPH3/NUSAP1/SKA3/KIF11/SHCBP1/AURKA/MAD2L1/CENPE/PLK1/WDR62/TUBB4A/UHRF1/ODAM/CAPG/SGO1/FAM83D/SPDL1/CKAP2/DYNC1I1/HASPIN/CSAG1/PSRC1/CDC7/INCENP/TACC3/MISP/TUBG1/SNCG/TUBB3"
"GO:0098687","chromosomal region",107,0.758574806845813,2.04613379855377,5.12777862882498e-17,3.32023666216418e-15,2.72581916584907e-15,524,"tags=59%, list=13%, signal=53%","CENPF/NEK2/TOP2A/NUF2/SKA1/CCNB1/CDC20/BUB1B/CDCA5/CENPA/HJURP/CDK1/BIRC5/KIF2C/CDCA8/BUB1/TTK/TERT/CENPI/SPC24/NDC80/KIF18A/NCAPG/AURKB/ZWINT/CENPL/CENPM/SKA3/ORC1/DSCC1/SPC25/CENPW/MCM4/SGO2/CDT1/RAD51AP1/AURKA/MAD2L1/CENPE/MCM2/PLK1/FEN1/EZH2/MCM3/ESCO2/HELLS/SGO1/BLM/ERCC6L/SPDL1/CHEK1/MTBP/MCM6/H2AX/CENPH/CENPK/DYNC1I1/MSH2/H4C8/CENPU/PIF1/RECQL4/RAD51"
"GO:0099080","supramolecular complex",277,0.622784390205252,1.72979419568684,4.63727633731274e-15,2.00175761894e-13,1.64338564936346e-13,645,"tags=34%, list=15%, signal=30%","CENPF/NEK2/NUF2/KIF4A/SKA1/KIFC1/MYO18B/CCNB1/CDC20/ASPM/IGF2BP1/KIF18B/BUB1B/HJURP/CDK1/BIRC5/COL2A1/KIF2C/BUB1/KIF20A/TTK/CENPI/SPC24/PRC1/TRIM71/KIF14/NDC80/KIF23/KIF18A/KIF15/IGF2BP3/RACGAP1/GTSE1/AURKB/TPX2/ZWINT/CENPL/DIAPH3/CENPM/NUSAP1/SKA3/KIF11/STMN1/SPC25/COL11A1/CENPW/SGO2/CDT1/AURKA/MAD2L1/CENPE/EPPK1/PLK1/TUBB4A/FLNC/MYO1A/MAPT/MEX3A/RIBC2/ODAM/CCT3/SGO1/MYH4/MAEL/ERCC6L/SPDL1/MTBP/TRIM54/TDRKH/CKAP2/CENPH/CENPK/LMNB1/DYNC1I1/TUBA3C/KRT20/TUBA1B/ACTL8/CENPU/PSRC1/HOXD10/INCENP/GAS2L3/PABPC4L/IGF2BP2/MISP/TUBG1/TUBA1C/SLC2A1/NEB/TUBB3/KRTAP5-1/COL1A1"
"GO:0005856","cytoskeleton",402,0.585937596628265,1.63721220547087,4.63727633731274e-15,2.00175761894e-13,1.64338564936346e-13,702,"tags=32%, list=17%, signal=29%","CENPF/ANLN/NEK2/TOP2A/KIF4A/SKA1/KIFC1/MYO18B/CCNB1/CDC20/ASPM/KIF18B/BUB1B/DLGAP5/CKAP2L/CDK1/BIRC5/KIF2C/CDCA8/KIF20A/TTK/PRC1/DTL/ECT2/KIF14/NDC80/KIF23/CCNB2/E2F1/KIF18A/KIF15/RACGAP1/CDC6/CEP55/GTSE1/AURKB/TPX2/HMMR/XRCC2/DIAPH3/NUSAP1/CDC45/SKA3/CCNE1/KIF11/STMN1/ENAH/STIL/SHCBP1/AURKA/CCNA2/PCLAF/MAD2L1/CENPE/ITPKA/EPPK1/PLK1/WDR62/MCM3/TUBB4A/FLNC/TTC39A/UHRF1/CCNF/MYO1A/MAPT/RIBC2/ODAM/CCNE2/NAA11/CCT3/CAPG/SGO1/FAM83D/TM4SF19/MYH4/SPDL1/CHEK1/TRIM54/PEA15/H2AX/CKAP2/CTNNA2/G6PD/MAP7D2/LMNB1/DYNC1I1/TUBA3C/SEPTIN3/RRAGD/TEDC2/KRT20/TUBA1B/ACTL8/HASPIN/PLK4/CSAG1/CENPU/PSRC1/CDC7/HOXA13/RAD51/CTAG2/SSX1/INCENP/GAS2L3/FERMT1/TACC3/IGF2BP2/MISP/CABYR/TUBG1/TUBA1C/RFLNA/SNCG/SLC2A1/NEB/TUBB3/KRTAP5-1/ERC2/JPT1/TNNT1/MLLT11/SEPTIN5/POTEF/BPIFB4/VASH2"
"GO:0000793","condensed chromosome",79,0.781851321639859,2.07763838211215,1.58131369483008e-14,5.20355925280344e-13,4.27197305046249e-13,600,"tags=66%, list=14%, signal=57%","CENPF/NEK2/TOP2A/NUF2/SKA1/CCNB1/CDC20/BUB1B/CENPA/HJURP/MKI67/BIRC5/KIF2C/BUB1/TTK/CENPI/SPC24/NDC80/KIF18A/NCAPH/NCAPG/AURKB/ZWINT/CENPL/CENPM/SKA3/SPC25/CENPW/SGO2/CDT1/AURKA/MAD2L1/CENPE/PLK1/FANCD2/NCAPG2/SGO1/BLM/ERCC6L/SPDL1/CHEK1/MTBP/H2AX/CENPH/CENPK/DYNC1I1/CENPU/RAD51/TEX11/INCENP/HMGB2/TUBG1"
"GO:0005815","microtubule organizing center",129,0.70748988628259,1.92242918842694,1.60727698928292e-14,5.20355925280344e-13,4.27197305046249e-13,620,"tags=47%, list=15%, signal=41%","CENPF/NEK2/TOP2A/SKA1/KIFC1/CCNB1/CDC20/ASPM/BUB1B/DLGAP5/CKAP2L/CDK1/BIRC5/KIF2C/DTL/ECT2/NDC80/KIF23/CCNB2/E2F1/KIF18A/KIF15/CEP55/AURKB/HMMR/XRCC2/DIAPH3/CDC45/SKA3/CCNE1/STIL/AURKA/CCNA2/PCLAF/PLK1/WDR62/MCM3/TTC39A/CCNF/CCNE2/NAA11/CAPG/SGO1/SPDL1/CHEK1/H2AX/CKAP2/G6PD/RRAGD/TEDC2/HASPIN/PLK4/CSAG1/CENPU/RAD51/CTAG2/TACC3/MISP/TUBG1/SNCG"
"GO:0000779","condensed chromosome, centromeric region",51,0.834965904237755,2.12965345257336,5.07677009380146e-14,1.46098161588286e-12,1.19942404555309e-12,457,"tags=75%, list=11%, signal=67%","CENPF/NEK2/NUF2/SKA1/CCNB1/CDC20/BUB1B/CENPA/HJURP/BIRC5/KIF2C/BUB1/TTK/CENPI/SPC24/NDC80/KIF18A/NCAPG/AURKB/ZWINT/CENPL/CENPM/SKA3/SPC25/CENPW/SGO2/CDT1/AURKA/MAD2L1/CENPE/PLK1/SGO1/ERCC6L/SPDL1/MTBP/CENPH/CENPK/DYNC1I1"
"GO:0000775","chromosome, centromeric region",77,0.778182793144195,2.06600136768409,9.31957567183702e-14,2.41377009900579e-12,1.98163609022219e-12,506,"tags=61%, list=12%, signal=55%","CENPF/NEK2/TOP2A/NUF2/SKA1/CCNB1/CDC20/BUB1B/CDCA5/CENPA/HJURP/BIRC5/KIF2C/CDCA8/BUB1/TTK/CENPI/SPC24/NDC80/KIF18A/NCAPG/AURKB/ZWINT/CENPL/CENPM/SKA3/DSCC1/SPC25/CENPW/SGO2/CDT1/AURKA/MAD2L1/CENPE/PLK1/EZH2/ESCO2/HELLS/SGO1/ERCC6L/SPDL1/MTBP/CENPH/CENPK/DYNC1I1/H4C8/CENPU"
