"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa00830","Retinol metabolism",30,-0.63888653056867,-3.92445544525268,5.55288216580992e-11,1.343797484126e-08,1.11057643316198e-08,457,"tags=70%, list=11%, signal=63%","UGT2B28/CYP3A4/ADH7/ADH6/RDH5/CYP2A6/CYP1A1/ADH1C/ADH1A/RDH16/ADH1B/UGT2B7/UGT2B10/CYP2A7/CYP2C9/CYP2C8/ADH4/LRAT/CYP2B6/CYP1A2/CYP26A1"
"hsa05204","Chemical carcinogenesis - DNA adducts",29,-0.61292457674684,-3.63362380630591,1.97123126461616e-09,2.1720176835387e-07,1.79505593680884e-07,1170,"tags=86%, list=28%, signal=63%","CYP2A13/HSD11B1/GSTA2/GSTM1/SULT2A1/GSTM2/CYP2C18/SULT1A2/GSTM5/SULT1A1/NAT1/UGT2B28/CYP3A4/CYP2A6/CYP1A1/CYP3A43/CYP2E1/UGT2B7/UGT2B10/CYP2C19/CYP2A7/CYP2C9/CYP2C8/NAT2/CYP1A2"
"hsa00380","Tryptophan metabolism",18,-0.716514642342775,-3.46754202063491,3.59011187361769e-09,2.1720176835387e-07,1.79505593680884e-07,1200,"tags=100%, list=29%, signal=72%","ALDH1B1/HAAO/ACAT1/AOX1/ECHS1/EHHADH/CAT/GCDH/KMO/ALDH2/ALDH8A1/TDO2/CYP1A1/INMT/AADAT/IDO2/CYP1A2"
"hsa00980","Metabolism of xenobiotics by cytochrome P450",35,-0.53163874630368,-3.38482640549659,3.08792994019805e-09,2.1720176835387e-07,1.79505593680884e-07,1013,"tags=74%, list=24%, signal=57%","GSTA2/GSTM1/SULT2A1/GSTM2/CYP2D6/AKR7L/GSTM5/CYP2D7/AKR7A3/UGT2B28/CYP3A4/ADH7/ADH6/CYP2A6/CYP1A1/ADH1C/ADH1A/ADH1B/CYP2E1/UGT2B7/UGT2B10/CYP2A7/CYP2C9/ADH4/CYP2B6/CYP1A2"
"hsa00982","Drug metabolism - cytochrome P450",31,-0.574616895678621,-3.60152029685168,5.4937809485215e-09,2.6589899790844e-07,2.1975123794086e-07,1013,"tags=81%, list=24%, signal=62%","GSTA2/GSTM1/GSTM2/AOX1/CYP2D6/GSTM5/CYP2D7/UGT2B28/CYP3A4/ADH7/ADH6/CYP2A6/ADH1C/ADH1A/ADH1B/CYP2E1/UGT2B7/UGT2B10/CYP2C19/CYP2A7/CYP2C9/CYP2C8/ADH4/CYP2B6/CYP1A2"
"hsa04610","Complement and coagulation cascades",32,-0.517631346567897,-3.31366869163318,4.42252945380468e-08,1.78375354636789e-06,1.47417648460156e-06,1162,"tags=81%, list=28%, signal=59%","CR1/MASP2/CPB2/CFHR4/F12/C1S/SERPING1/CFI/SERPINF2/FGA/FGG/MASP1/A2M/C8B/PLG/FGB/CFHR3/C1R/MBL2/F11/C6/C7/KLKB1/F9/C8A/C9"
"hsa00071","Fatty acid degradation",19,-0.642576358246204,-3.19053606324844,1.48858871197444e-07,5.14626383282591e-06,4.25311060564125e-06,953,"tags=89%, list=23%, signal=69%","ACAT1/ECHS1/EHHADH/ACAA2/ACADSB/GCDH/ACAA1/ACADL/ACSL1/ACADS/ADH7/ADH6/ALDH2/ADH1C/ADH1A/ADH1B/ADH4"
"hsa00280","Valine, leucine and isoleucine degradation",21,-0.593600651827774,-3.16442636867471,4.362922998048e-07,1.31978420690952e-05,1.090730749512e-05,1189,"tags=90%, list=28%, signal=65%","ALDH1B1/MMUT/HMGCL/IVD/ACAT1/AOX1/HMGCS2/ECHS1/EHHADH/BCKDHB/AGXT2/ACAA2/ACADSB/ABAT/ACAA1/ACADS/ALDH6A1/ALDH2/HMGCLL1"
"hsa00260","Glycine, serine and threonine metabolism",14,-0.697274821826066,-2.98569363639687,9.06649408218544e-07,2.43787951987653e-05,2.01477646270788e-05,954,"tags=93%, list=23%, signal=72%","ALAS1/SHMT1/GRHPR/CBS/AGXT2/CNPY3-GNMT/SARDH/AGXT/SDS/DMGDH/GNMT/BHMT/CTH"
"hsa00620","Pyruvate metabolism",18,-0.612287833723234,-2.96314083019555,1.49742327079883e-06,3.62376431533316e-05,2.99484654159765e-05,1026,"tags=83%, list=25%, signal=63%","ACACB/ACAT1/LDHAL6B/PCK2/GRHPR/ACOT12/LDHD/ADH7/ADH6/ALDH2/ADH1C/ADH1A/ADH1B/PCK1/ADH4"
