"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0008017","microtubule binding",67,0.752551088710049,1.981745231313,1.46142480225932e-10,5.64109973672098e-08,3.69202055307618e-08,232,"tags=37%, list=6%, signal=36%","CENPF/NUF2/KIF4A/SKA1/KIFC1/KIF18B/DLGAP5/BIRC5/KIF2C/KIF20A/SPC24/PRC1/KIF14/NDC80/KIF23/KIF18A/KIF15/RACGAP1/GTSE1/DIAPH3/NUSAP1/SKA3/KIF11/CENPE/PLK1"
"GO:0015631","tubulin binding",84,0.715597869272144,1.92164602536163,9.74136615344334e-10,1.46351573077771e-07,9.57850491918872e-08,232,"tags=31%, list=6%, signal=30%","CENPF/NUF2/KIF4A/SKA1/KIFC1/KIF18B/DLGAP5/BIRC5/KIF2C/KIF20A/SPC24/PRC1/KIF14/NDC80/KIF23/KIF18A/KIF15/RACGAP1/GTSE1/DIAPH3/NUSAP1/SKA3/KIF11/STMN1/CENPE/PLK1"
"GO:0003677","DNA binding",449,0.533196378796108,1.49907939975358,1.13744745915366e-09,1.46351573077771e-07,9.57850491918872e-08,1397,"tags=54%, list=33%, signal=40%","MMP12/TOP2A/MYBL2/KIF4A/EXO1/CENPA/HJURP/MKI67/HMGA2/KIF2C/TERT/E2F1/PITX1/EBF2/HOXA10/TBX4/CDC6/NEIL3/SIX1/CLSPN/E2F8/XRCC2/MCM10/PARPBP/NUSAP1/CDC45/HOXD1/ORC1/ZIC2/HOXD4/HOXD9/DSCC1/CDKN2A/CENPW/POLQ/MCM4/E2F2/CDT1/E2F7/WDR76/RAD51AP1/SP8/RFC4/MCM2/SIX2/SIX4/ORC6/WDHD1/FEN1/EZH2/MND1/HMGA1/ZIC5/MCM3/H2AC13/MAFA/FOXM1/UHRF1/H3C2/MESP2/ZNF695/OTX1/SHOX2/MAPT/HOXD3/LIN28B/BLM/MAEL/ERCC6L/CBX2/ISX/MCM6/H2AX/MCM8/RAD54L/PAGE4/H2AC12/TRIM16/LMNB1/DACH2/ZNF99/ETV4/H3C15/H3C14/LIN9/MSH2/VPS72/ILF2/H4C8/DLX5/PIF1/HOXD10/RECQL4/HOXA13/RAD51/POU2AF3/H2AC17/HEY1/MSX1/H1-5/H3C3/RFX8/PRIM2/MYCN/HMGB2/HOXC6/H4C14/HOXC9/H4C15/HOXA11/TAF6/H2BC17/SMC4/HES6/ZNF730/ZNF883/SMC1B/DMBX1/EHMT2/DLX6/TLX1/RMI2/ZNF729/EVX1/MNX1/IRX5/HES2/FANCI/RDM1/TP73/H2AZ1/PRKDC/SPHK1/BEND3/NKX3-2/H2BC8/SOX4/H2BC11/HROB/EME1/MMS22L/IRX3/SMYD3/H2AC16/MCM7/SOX11/DMC1/FEZF1/SCX/ZNF560/TLX2/PRRX1/TFAP2A/POLD1/ZNF492/MCM5/SP6/HOXD8/H2BC9/H2AC4/LHX3/H2BC7/H3C13/H3C10/BRCA1/RFX5/ZSCAN31/CREB3L1/ZNF728/FOXN4/POLE2/ZNF716/ZBTB9/NR0B1/NABP2/MYT1/PCNA/ZFP69B/OSR2/NSD2/ZNF98/SOX2/H3C4/SUV39H2/E2F3/RFX6/ZNF681/H2AC11/H4C1/H3C8/H2BC13/HOXA6/RAD21/DNMT3B/H2AC7/SP5/H4C4/ZKSCAN3/ZNF556/RBL1/HOXA9/MCMDC2/HOXB13/TTF2/H2BC18/FAAP24/ISL2/ARID3A/FOXD2/DMBT1/LEF1/ZNF385D/RHOXF2B/H3C11/VAX2/H2BC15/H4C5/H1-4/PRDM9/TRNP1/TBX18/ZNF723/FANCG/H2AC19/DLX4/ZNF775/POU3F2/H2AC18/NME2/MECOM/EBF1/TIGD5/ZNF676/ZNF724/KCNH2/H4C9/FOXS1/H2AC25/HOXA3/RFC3/HOXC5/EMX1"
"GO:0140657","ATP-dependent activity",106,0.676759248449686,1.83404847675791,1.54596163863442e-09,1.49185298128221e-07,9.76396824400686e-08,524,"tags=39%, list=13%, signal=35%","TOP2A/KIF4A/KIFC1/KIF18B/KIF2C/KIF20A/KIF14/KIF23/TRIP13/KIF18A/KIF15/CDC6/DQX1/XRCC2/ABCB5/ORC1/KIF11/DSCC1/ACSL4/POLQ/MCM4/CENPE/RFC4/MCM2/ATP6V0D2/MCM3/MYO1A/HELLS/CCT3/MYH4/BLM/ERCC6L/MCM6/MCM8/RAD54L/DYNC1I1/ATAD2/MSH2/PIF1/RECQL4/RAD51"
"GO:0005524","ATP binding",240,0.5794288729991,1.60748242318392,7.56353761053602e-09,5.8390510353338e-07,3.82157689795504e-07,604,"tags=28%, list=14%, signal=25%","NEK2/TOP2A/MELK/KIF4A/KIFC1/MYO18B/UBE2C/UBE2T/KIF18B/BUB1B/CDK1/MKI67/PBK/KIF2C/BUB1/KIF20A/TTK/PNCK/KIF14/KIF23/TRIP13/KIF18A/KIF15/CDC6/DQX1/AURKB/XRCC2/ABCB5/ORC1/KIF11/ACSL4/POLQ/MCM4/UCK2/AURKA/CENPE/RFC4/MCM2/ITPKA/PLK1/MCM3/MYO1A/PKMYT1/HELLS/UBE2S/CCT3/MYH4/BLM/ERCC6L/CHEK1/MCM6/MCM8/RAD54L/ATAD2/MSH2/HASPIN/PLK4/PIF1/CDC7/RECQL4/RAD51/SRXN1/ACLY/TK1/PKM/MTHFD1L"
"GO:0035639","purine ribonucleoside triphosphate binding",280,0.559068850148673,1.55601114927397,1.70037449856381e-08,1.09390759407605e-06,7.15947157290023e-07,884,"tags=36%, list=21%, signal=30%","NEK2/TOP2A/MELK/KIF4A/KIFC1/MYO18B/UBE2C/UBE2T/KIF18B/BUB1B/CDK1/MKI67/PBK/KIF2C/BUB1/KIF20A/TTK/PNCK/KIF14/KIF23/TRIP13/KIF18A/KIF15/CDC6/DQX1/AURKB/XRCC2/ABCB5/RAB3B/ORC1/KIF11/ACSL4/POLQ/MCM4/UCK2/AURKA/CENPE/GNAZ/RFC4/MCM2/ITPKA/PLK1/MCM3/TUBB4A/MYO1A/PKMYT1/HELLS/UBE2S/CCT3/MYH4/BLM/ERCC6L/EEF1A2/CHEK1/MCM6/MCM8/RAD54L/TUBA3C/SEPTIN3/RRAGD/ATAD2/TUBA1B/MSH2/HASPIN/PLK4/PIF1/CDC7/RECQL4/RAD51/SRXN1/ACLY/TK1/TUBG1/PKM/MTHFD1L/TUBA1C/TUBB3/DTYMK/RASD2/SMC4/IRAK1/SMC1B/SEPTIN5/PRKDC/SPHK1/CCT6A/EPRS1/FIGNL1/GARS1/MCM7/DGKI/HSP90AB1/ABCC4/FLAD1/PFKFB4/DMC1/EPHA10/DIRAS1/WNK4/RAP2A"
"GO:0032559","adenyl ribonucleotide binding",253,0.567425265342979,1.57674294814049,2.89868701972958e-08,1.59841884230803e-06,1.04614268381218e-06,604,"tags=26%, list=14%, signal=24%","NEK2/TOP2A/MELK/KIF4A/KIFC1/MYO18B/UBE2C/UBE2T/KIF18B/BUB1B/CDK1/MKI67/PBK/KIF2C/BUB1/KIF20A/TTK/PNCK/KIF14/KIF23/TRIP13/KIF18A/KIF15/CDC6/DQX1/AURKB/XRCC2/ABCB5/ORC1/KIF11/ACSL4/POLQ/MCM4/UCK2/AURKA/CENPE/RFC4/MCM2/ITPKA/PLK1/MCM3/MYO1A/PKMYT1/HELLS/UBE2S/CCT3/MYH4/BLM/ERCC6L/CHEK1/MCM6/POPDC3/MCM8/RAD54L/ATAD2/MSH2/HASPIN/PLK4/PIF1/CDC7/RECQL4/RAD51/SRXN1/ACLY/TK1/PKM/MTHFD1L"
"GO:0032555","purine ribonucleotide binding",295,0.546051406739212,1.51943039003895,5.82018211056045e-08,2.80823786834542e-06,1.83795224544014e-06,884,"tags=34%, list=21%, signal=29%","NEK2/TOP2A/MELK/KIF4A/KIFC1/MYO18B/UBE2C/UBE2T/KIF18B/BUB1B/CDK1/MKI67/PBK/KIF2C/BUB1/KIF20A/TTK/PNCK/KIF14/KIF23/TRIP13/KIF18A/KIF15/CDC6/DQX1/AURKB/XRCC2/ABCB5/RAB3B/ORC1/KIF11/ACSL4/POLQ/MCM4/UCK2/AURKA/CENPE/GNAZ/RFC4/MCM2/ITPKA/PLK1/MCM3/TUBB4A/MYO1A/PKMYT1/HELLS/UBE2S/CCT3/MYH4/BLM/ERCC6L/EEF1A2/CHEK1/MCM6/POPDC3/MCM8/RAD54L/TUBA3C/SEPTIN3/RRAGD/ATAD2/TUBA1B/MSH2/HASPIN/PLK4/PIF1/CDC7/RECQL4/RAD51/SRXN1/ACLY/TK1/TUBG1/PKM/MTHFD1L/TUBA1C/TUBB3/DTYMK/RASD2/SMC4/IRAK1/SMC1B/SEPTIN5/PRKDC/SPHK1/CCT6A/EPRS1/FIGNL1/GARS1/MCM7/DGKI/HSP90AB1/ABCC4/FLAD1/PFKFB4/DMC1/EPHA10/DIRAS1/WNK4/RAP2A"
"GO:0016887","ATP hydrolysis activity",70,0.698544536266698,1.85174351228658,8.98071773785201e-08,3.78476310661887e-06,2.47707429939604e-06,524,"tags=43%, list=13%, signal=38%","KIFC1/KIF18B/KIF2C/KIF20A/KIF14/KIF23/TRIP13/KIF18A/KIF15/CDC6/DQX1/ABCB5/ORC1/POLQ/MCM4/RFC4/MCM2/MCM3/CCT3/MYH4/BLM/ERCC6L/MCM6/MCM8/RAD54L/ATAD2/MSH2/PIF1/RECQL4/RAD51"
"GO:0032553","ribonucleotide binding",301,0.540106931329836,1.50315923251947,9.80508576844266e-08,3.78476310661887e-06,2.47707429939604e-06,683,"tags=28%, list=16%, signal=25%","NEK2/TOP2A/MELK/KIF4A/KIFC1/MYO18B/UBE2C/UBE2T/KIF18B/BUB1B/CDK1/MKI67/PBK/KIF2C/BUB1/KIF20A/TTK/PNCK/KIF14/KIF23/TRIP13/KIF18A/KIF15/CDC6/DQX1/AURKB/XRCC2/ABCB5/RAB3B/ORC1/KIF11/ACSL4/POLQ/MCM4/UCK2/AURKA/CENPE/GNAZ/RFC4/MCM2/ITPKA/PLK1/MCM3/TUBB4A/MYO1A/PKMYT1/HELLS/UBE2S/CCT3/MYH4/BLM/ERCC6L/EEF1A2/CHEK1/MCM6/POPDC3/MCM8/RAD54L/TUBA3C/SEPTIN3/RRAGD/ATAD2/TUBA1B/MSH2/HASPIN/PLK4/PIF1/CDC7/RECQL4/RAD51/SRXN1/ACLY/TK1/TUBG1/PKM/MTHFD1L/TUBA1C/TUBB3/DTYMK/RASD2/SMC4/IRAK1/SMC1B/SEPTIN5"
"GO:0003774","cytoskeletal motor activity",36,0.795210568764931,1.98632061011473,1.55991816822682e-07,5.47389466305049e-06,3.58258718061663e-06,470,"tags=44%, list=11%, signal=40%","KIF4A/KIFC1/MYO18B/KIF18B/KIF2C/KIF20A/KIF14/KIF23/KIF18A/KIF15/KIF11/CENPE/MYO1A/MYH4/DYNC1I1/RRAGD"
"GO:0030554","adenyl nucleotide binding",275,0.54393893739351,1.51395589079438,1.86531689005092e-07,6.00010266299713e-06,3.92698292642299e-06,879,"tags=33%, list=21%, signal=28%","NEK2/TOP2A/MELK/KIF4A/KIFC1/MYO18B/UBE2C/UBE2T/KIF18B/BUB1B/CDK1/MKI67/PBK/KIF2C/BUB1/KIF20A/TTK/PNCK/KIF14/KIF23/TRIP13/KIF18A/KIF15/CDC6/DQX1/AURKB/XRCC2/ABCB5/ORC1/KIF11/ACSL4/POLQ/MCM4/UCK2/AURKA/CENPE/RFC4/MCM2/ITPKA/PLK1/MCM3/MYO1A/PKMYT1/HELLS/UBE2S/CCT3/MYH4/BLM/ERCC6L/CHEK1/MCM6/POPDC3/MCM8/RAD54L/G6PD/ATAD2/MSH2/HASPIN/PLK4/PIF1/CDC7/RECQL4/RAD51/SRXN1/TP53I3/ACLY/TK1/PKM/MTHFD1L/DTYMK/SMC4/IRAK1/SMC1B/PRKDC/SPHK1/CCT6A/EPRS1/DUOX1/FIGNL1/GARS1/MCM7/DGKI/HSP90AB1/ABCC4/FLAD1/PFKFB4/DMC1/EPHA10/WNK4/UXS1"
"GO:0003777","microtubule motor activity",19,0.869298307353553,1.99944251201907,3.48960270831247e-07,9.62133318149009e-06,6.29702744357137e-06,220,"tags=58%, list=5%, signal=55%","KIF4A/KIFC1/KIF18B/KIF2C/KIF20A/KIF14/KIF23/KIF18A/KIF15/KIF11/CENPE"
"GO:0008092","cytoskeletal protein binding",196,0.577526609910355,1.59602938997923,3.28307710342053e-07,9.62133318149009e-06,6.29702744357137e-06,461,"tags=23%, list=11%, signal=21%","CENPF/ANLN/NUF2/KIF4A/SKA1/KIFC1/MYO18B/KIF18B/DLGAP5/BIRC5/KIF2C/KIF20A/SPC24/PRC1/KIF14/NDC80/KIF23/KIF18A/IQGAP3/KIF15/RACGAP1/GTSE1/DIAPH3/NUSAP1/RAB3B/SKA3/KIF11/STMN1/ENAH/CAP2/NRCAM/CENPE/PLK1/EPS8L3/FLNC/MYO1A/MAPK8IP2/MAPT/CAPG/FAM83D/MYH4/TRIM54/CTNNA2/DYNC1I1/ANXA2P2"
"GO:0017076","purine nucleotide binding",317,0.528325671794026,1.47067617754058,4.8957474916785e-07,1.25983902119193e-05,8.24546945966905e-06,884,"tags=33%, list=21%, signal=28%","NEK2/TOP2A/MELK/KIF4A/KIFC1/MYO18B/UBE2C/UBE2T/KIF18B/BUB1B/CDK1/MKI67/PBK/KIF2C/BUB1/KIF20A/TTK/PNCK/KIF14/KIF23/TRIP13/KIF18A/KIF15/CDC6/DQX1/AURKB/XRCC2/ABCB5/RAB3B/ORC1/KIF11/ACSL4/POLQ/MCM4/UCK2/AURKA/CENPE/GNAZ/RFC4/MCM2/ITPKA/PLK1/MCM3/TUBB4A/MYO1A/PKMYT1/HELLS/UBE2S/CCT3/MYH4/BLM/ERCC6L/EEF1A2/CHEK1/MCM6/POPDC3/MCM8/RAD54L/G6PD/TUBA3C/SEPTIN3/RRAGD/ATAD2/TUBA1B/MSH2/HASPIN/PLK4/PIF1/CDC7/RECQL4/RAD51/SRXN1/TP53I3/ACLY/TK1/TUBG1/PKM/MTHFD1L/TUBA1C/TUBB3/DTYMK/RASD2/SMC4/IRAK1/SMC1B/SEPTIN5/PRKDC/SPHK1/CCT6A/EPRS1/DUOX1/FIGNL1/GARS1/MCM7/DGKI/HSP90AB1/ABCC4/FLAD1/PFKFB4/DMC1/EPHA10/DIRAS1/WNK4/UXS1/RAP2A"
"GO:0003823","antigen binding",18,-0.76694837243197,-2.46537644586662,6.44164191200556e-06,0.000154115480417809,0.000100866417508247,512,"tags=44%, list=12%, signal=39%","PLG/LILRA2/LILRA1/CD1D/KLRD1/CLEC4M/FCN3/FCN2"
