"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0020037","heme binding",56,-0.432288147681517,-3.42824990741104,2.95733584383328e-10,1.51415595204264e-07,1.29188881599033e-07,885,"tags=62%, list=21%, signal=50%","CYP2D6/NOS1/CYP2J2/CYP2C18/CBS/CYP4V2/CYP2D7/CAT/HBG2/STEAP3/CYP4F2/CYP8B1/CYP3A4/STEAP4/CYP2A6/TDO2/HBG1/CYP1A1/CYP3A43/HBB/CYP4A22/CYP4A11/CYP2E1/HBA2/CYP2C19/CYP2A7/HBA1/CYP2C9/CYP39A1/CYP2C8/HBD/CYP2B6/IDO2/CYP1A2/CYP26A1"
"GO:0046906","tetrapyrrole binding",58,-0.41994828983124,-3.33091212120185,1.51382004125275e-09,2.07907070216528e-07,1.77387816899382e-07,885,"tags=60%, list=21%, signal=48%","CYP2D6/NOS1/CYP2J2/CYP2C18/CBS/CYP4V2/CYP2D7/CAT/HBG2/STEAP3/CYP4F2/CYP8B1/CYP3A4/STEAP4/CYP2A6/TDO2/HBG1/CYP1A1/CYP3A43/HBB/CYP4A22/CYP4A11/CYP2E1/HBA2/CYP2C19/CYP2A7/HBA1/CYP2C9/CYP39A1/CYP2C8/HBD/CYP2B6/IDO2/CYP1A2/CYP26A1"
"GO:0043565","sequence-specific DNA binding",292,0.376356365085345,1.92683333223651,2.03034248258328e-09,2.07907070216528e-07,1.77387816899382e-07,1080,"tags=41%, list=26%, signal=33%","LIN28B/MMP12/SP8/TERT/HMGA2/TBX4/PITX1/SIX1/HOXA10/HOXD1/MAFA/ZIC2/ZNF729/SIX2/HOXC9/ZIC5/DLX6/HOXA11/ZNF716/DACH2/HOXB13/HOXC6/DLX5/DMBX1/EVX1/EBF2/ALX1/HOXC8/ISX/ZNF695/MYBL2/HOXD9/SHOX2/HOXA13/TGIF2LX/HOXD10/MNX1/FEZF1/DRGX/HOXC5/LHX3/ZNF99/ZNF560/NKX3-2/SOX11/SOHLH2/HOXD4/ZNF723/OTX1/KIF2C/PRDM9/RFX6/IRX5/ZNF679/SIX4/E2F8/HOXD3/MAEL/E2F1/TLX2/LMX1B/MESP2/HES2/HOXC13/MCM10/HMX3/ZNF556/HOXC10/E2F7/PITX2/PRRX2/HOXA6/SOX2/ZNF728/CDC6/MYCN/ZNF98/OSR2/PTF1A/CDC45/ZNF730/TCF24/ZNF492/DLX1/DLX2/EN2/E2F2/RHOXF2B/ETV4/ORC1/HOXA9/EN1/DLX4/SOHLH1/FOXN4/CREB3L1/HOXA7/PRRX1/POU3F2/MAPT/IRX3/MSX1/UHRF1/TFAP2A/MCM2/KCNH2/BARX1/POU3F4/ZNF883/HOXD13/ISL2/ZNF385D/ZNF676/POU2AF2/TLX1/HOXD8/NKX2-2/OVOL1/VAX2/FOXJ1/SIX3"
"GO:0003690","double-stranded DNA binding",297,0.373082593496484,1.91298602510691,1.64666456664931e-09,2.07907070216528e-07,1.77387816899382e-07,1080,"tags=41%, list=26%, signal=33%","LIN28B/MMP12/SP8/HMGA2/TBX4/PITX1/SIX1/HOXA10/HOXD1/MAFA/ZIC2/ZNF729/SIX2/HOXC9/ZIC5/DLX6/HOXA11/ZNF716/DACH2/HOXB13/HOXC6/DLX5/DMBX1/EVX1/EBF2/ALX1/HOXC8/ISX/ZNF695/MYBL2/HOXD9/SHOX2/HOXA13/TGIF2LX/HOXD10/MNX1/FEZF1/DRGX/HOXC5/LHX3/ZNF99/ZNF560/NKX3-2/NEIL3/SOX11/SOHLH2/HOXD4/ZNF723/OTX1/KIF2C/PRDM9/RFX6/IRX5/ZNF679/SIX4/E2F8/HOXD3/E2F1/TLX2/LMX1B/MESP2/HES2/HOXC13/MCM10/HMX3/ZNF556/HOXC10/E2F7/PITX2/PRRX2/HOXA6/SOX2/ZNF728/CDC6/MYCN/ZNF98/OSR2/PTF1A/CDC45/ZNF730/TCF24/ZNF492/DLX1/DLX2/EN2/H1-5/E2F2/RHOXF2B/ETV4/ORC1/HOXA9/EN1/DLX4/SOHLH1/FOXN4/CREB3L1/HOXA7/MND1/PRRX1/POU3F2/MAPT/IRX3/MSX1/UHRF1/TFAP2A/MCM2/KCNH2/DMC1/BARX1/RAD51AP1/POU3F4/ZNF883/HOXD13/ISL2/ZNF385D/ZNF676/TLX1/HOXD8/NKX2-2/OVOL1/VAX2/FOXJ1/SIX3"
"GO:0003677","DNA binding",449,0.342007991632025,1.79587182220038,1.23289610000488e-09,2.07907070216528e-07,1.77387816899382e-07,1609,"tags=54%, list=38%, signal=37%","LIN28B/MMP12/SP8/TERT/HMGA2/TBX4/PAGE4/PITX1/SIX1/HOXA10/HOXD1/MAFA/ZIC2/ZNF729/SIX2/HOXC9/ZIC5/DLX6/HOXA11/NR0B1/ZNF716/DACH2/HOXB13/HOXC6/DLX5/DMBX1/EVX1/EBF2/ALX1/HOXC8/ISX/ZNF695/MYBL2/HOXD9/SHOX2/HOXA13/TGIF2LX/TOP2A/HOXD10/MNX1/FEZF1/CENPA/DRGX/HOXC5/KIF4A/LHX3/ZNF99/EXO1/ZNF560/NKX3-2/HJURP/NEIL3/SOX11/SOHLH2/HOXD4/MKI67/ZNF723/OTX1/KIF2C/PRDM9/RFX6/IRX5/H3C2/ZNF679/H2AC13/SIX4/E2F8/HOXD3/MAEL/E2F1/TLX2/LMX1B/MESP2/HES2/HOXC13/MCM10/HMX3/ZNF556/HOXC10/E2F7/PITX2/PRRX2/HOXA6/SOX2/DMBT1/ZNF728/CDC6/MYCN/ZNF98/CLSPN/OSR2/PTF1A/CDC45/XRCC2/ZNF730/TCF24/CDKN2A/POLQ/H2AC12/ZNF492/DLX1/DLX2/EN2/PARPBP/H1-5/E2F2/MYT1/RHOXF2B/ETV4/ORC1/TPRXL/H2BC9/H3C3/HOXA9/EN1/DLX4/CDT1/H4C8/SOHLH1/H2AC16/H3C8/FOXN4/H3C15/ORC6/CREB3L1/HOXA7/H3C14/SMC1B/MND1/PRRX1/POU3F2/MAPT/IRX3/MSX1/UHRF1/TFAP2A/NUSAP1/MCM2/H2BC17/KCNH2/DMC1/BANF2/BARX1/RAD51AP1/POU3F4/H2AC17/ZNF883/HOXD13/ISL2/CBX2/ZNF385D/ZNF676/POU2AF2/TLX1/HOXD8/DSCC1/SPHK1/CENPW/TNP1/NKX2-2/H2BC13/OVOL1/VAX2/TRIM16/FOXJ1/SIX3/WDR76/H2AC4/H2AC25/TBX18/FOXM1/ERCC6L/POU2AF3/HMGA1/H3C11/H2BC7/H2BC8/RDM1/BLM/IRX6/RFX8/H3C13/MCM4/WDHD1/VSX1/RHOXF2/HEY1/ZNF722/H3C12/SOX4/DPF1/FEN1/H2BC11/SP6/H2AC11/SMYD1/H1-1/PIF1/CDX2/H4C1/FOXQ1/EMX1/TAL2/H3C10/RECQL4/H4C4/EZH2/RMI2/H4C15/H2BC3/H4C14/SP5/TRNP1/RFC4/RAD54L/FOXF2/TP73/ANKRD1/STOX1/H3C7/LEF1/DMRT2/H1-6/MSC/H2AX/MUC1/LEP/GSC/ZNF681/RAD51/WT1/MCM3/HES6/H4C5/SCX/FOXS1/H2BC26/SIM1/H3C4/HOXA3/LMNB1"
"GO:1990837","sequence-specific double-stranded DNA binding",281,0.377585457758649,1.93007707940844,3.30959205849481e-09,2.8241852232489e-07,2.4096152706585e-07,1080,"tags=42%, list=26%, signal=33%","LIN28B/MMP12/SP8/HMGA2/TBX4/PITX1/SIX1/HOXA10/HOXD1/MAFA/ZIC2/ZNF729/SIX2/HOXC9/ZIC5/DLX6/HOXA11/ZNF716/DACH2/HOXB13/HOXC6/DLX5/DMBX1/EVX1/EBF2/ALX1/HOXC8/ISX/ZNF695/MYBL2/HOXD9/SHOX2/HOXA13/TGIF2LX/HOXD10/MNX1/FEZF1/DRGX/HOXC5/LHX3/ZNF99/ZNF560/NKX3-2/SOX11/SOHLH2/HOXD4/ZNF723/OTX1/KIF2C/PRDM9/RFX6/IRX5/ZNF679/SIX4/E2F8/HOXD3/E2F1/TLX2/LMX1B/MESP2/HES2/HOXC13/MCM10/HMX3/ZNF556/HOXC10/E2F7/PITX2/PRRX2/HOXA6/SOX2/ZNF728/CDC6/MYCN/ZNF98/OSR2/PTF1A/CDC45/ZNF730/TCF24/ZNF492/DLX1/DLX2/EN2/E2F2/RHOXF2B/ETV4/ORC1/HOXA9/EN1/DLX4/SOHLH1/FOXN4/CREB3L1/HOXA7/PRRX1/POU3F2/IRX3/MSX1/UHRF1/TFAP2A/MCM2/KCNH2/BARX1/POU3F4/ZNF883/HOXD13/ISL2/ZNF385D/ZNF676/TLX1/HOXD8/NKX2-2/OVOL1/VAX2/FOXJ1/SIX3"
"GO:0140375","immune receptor activity",32,-0.550867290411331,-3.73336245930455,6.85645542930016e-09,5.01500739971669e-07,4.27884060625499e-07,1181,"tags=84%, list=28%, signal=61%","NCR3/IL2RB/CR1/GPR17/IL18RAP/LILRA5/IL18R1/FLT3/FCGR2B/KLRC4-KLRK1/KLRK1/IL1RAP/LILRA2/LILRA1/IL5RA/IL13RA2/CD4/FPR2/CXCR2/CXCR1/KLRD1/IL1RL1/LILRB5/IL1RAPL2/KLRF1/GHR/LIFR"
"GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific",251,0.379195415787924,1.92944742819342,1.29806844655452e-08,8.3076380579489e-07,7.08813691210689e-07,1080,"tags=42%, list=26%, signal=33%","SP8/TBX4/PITX1/SIX1/HOXA10/HOXD1/MAFA/ZIC2/ZNF729/SIX2/HOXC9/ZIC5/DLX6/HOXA11/ZNF716/DACH2/HOXB13/HOXC6/DLX5/DMBX1/EVX1/EBF2/ALX1/HOXC8/ISX/ZNF695/MYBL2/HOXD9/SHOX2/HOXA13/TGIF2LX/HOXD10/MNX1/FEZF1/DRGX/HOXC5/LHX3/ZNF99/ZNF560/NKX3-2/SOX11/SOHLH2/HOXD4/ZNF723/OTX1/RFX6/IRX5/ZNF679/SIX4/E2F8/HOXD3/E2F1/TLX2/LMX1B/MESP2/HES2/HOXC13/HMX3/ZNF556/HOXC10/E2F7/PITX2/PRRX2/HOXA6/SOX2/ZNF728/MYCN/ZNF98/OSR2/PTF1A/ZNF730/TCF24/ZNF492/DLX1/DLX2/EN2/E2F2/MYT1/RHOXF2B/ETV4/TPRXL/HOXA9/EN1/DLX4/SOHLH1/FOXN4/CREB3L1/HOXA7/PRRX1/POU3F2/IRX3/MSX1/TFAP2A/BARX1/POU3F4/ZNF883/HOXD13/ISL2/ZNF676/TLX1/HOXD8/NKX2-2/OVOL1/VAX2/FOXJ1/SIX3"
"GO:0003700","DNA-binding transcription factor activity",256,0.37128529316892,1.89018877523218,4.56539971366731e-08,2.59720517044184e-06,2.21595424698472e-06,1080,"tags=41%, list=26%, signal=33%","SP8/TBX4/PITX1/SIX1/HOXA10/HOXD1/MAFA/ZIC2/ZNF729/SIX2/HOXC9/ZIC5/DLX6/HOXA11/ZNF716/DACH2/HOXB13/HOXC6/DLX5/DMBX1/EVX1/EBF2/ALX1/HOXC8/ISX/ZNF695/MYBL2/HOXD9/SHOX2/HOXA13/TGIF2LX/HOXD10/MNX1/FEZF1/DRGX/HOXC5/LHX3/ZNF99/ZNF560/NKX3-2/SOX11/SOHLH2/HOXD4/ZNF723/OTX1/RFX6/IRX5/ZNF679/SIX4/E2F8/HOXD3/E2F1/TLX2/LMX1B/MESP2/HES2/HOXC13/HMX3/ZNF556/HOXC10/E2F7/PITX2/PRRX2/HOXA6/SOX2/ZNF728/MYCN/ZNF98/OSR2/PTF1A/ZNF730/TCF24/ZNF492/DLX1/DLX2/EN2/E2F2/MYT1/RHOXF2B/ETV4/TPRXL/HOXA9/EN1/DLX4/SOHLH1/FOXN4/CREB3L1/HOXA7/PRRX1/POU3F2/IRX3/MSX1/TFAP2A/BARX1/POU3F4/ZNF883/HOXD13/ISL2/ZNF676/TLX1/HOXD8/NKX2-2/OVOL1/VAX2/FOXJ1/SIX3"
"GO:0000976","transcription cis-regulatory region binding",262,0.364329039327409,1.85948208636845,7.18343463089681e-08,3.34356230092652e-06,2.85275155198295e-06,1080,"tags=40%, list=26%, signal=32%","MMP12/SP8/HMGA2/TBX4/PITX1/SIX1/HOXA10/HOXD1/MAFA/ZIC2/ZNF729/SIX2/HOXC9/ZIC5/DLX6/HOXA11/ZNF716/DACH2/HOXB13/HOXC6/DLX5/DMBX1/EVX1/EBF2/ALX1/HOXC8/ISX/ZNF695/MYBL2/HOXD9/HOXA13/HOXD10/FEZF1/DRGX/HOXC5/LHX3/ZNF99/ZNF560/NKX3-2/SOX11/SOHLH2/HOXD4/ZNF723/OTX1/PRDM9/RFX6/IRX5/ZNF679/SIX4/E2F8/HOXD3/E2F1/TLX2/LMX1B/MESP2/HES2/HOXC13/HMX3/ZNF556/HOXC10/E2F7/PITX2/PRRX2/HOXA6/SOX2/ZNF728/MYCN/ZNF98/OSR2/PTF1A/ZNF730/TCF24/ZNF492/DLX1/DLX2/EN2/E2F2/RHOXF2B/ETV4/HOXA9/EN1/DLX4/SOHLH1/FOXN4/CREB3L1/HOXA7/PRRX1/POU3F2/IRX3/MSX1/UHRF1/TFAP2A/KCNH2/BARX1/POU3F4/ZNF883/HOXD13/ISL2/ZNF676/TLX1/HOXD8/NKX2-2/OVOL1/VAX2/FOXJ1/SIX3"
