"gene","module"
"RN7SK","turquoise"
"SNORD3A","turquoise"
"RMRP","turquoise"
"RPPH1","turquoise"
"RNU1-1","turquoise"
"RNU1-3","turquoise"
"RNU1-2","turquoise"
"RNU1-4","turquoise"
"RN7SL3","turquoise"
"RNVU1-7","turquoise"
"SNORA73B","turquoise"
"SNORD3C","turquoise"
"RN7SL1","turquoise"
"RN7SL2","turquoise"
"LOC105378179","turquoise"
"SNORD17","turquoise"
"LOC105379524","turquoise"
"SNORD3B-2","turquoise"
"SNORD133","turquoise"
"SCARNA10","turquoise"
"SNORA73A","turquoise"
"SNORD3D","turquoise"
"RNU4-2","turquoise"
"SNORD3B-1","turquoise"
"RNA28SN4","purple"
"XIST","grey"
"RNA45SN4","purple"
"RNA28SN5","purple"
"RNA45SN2","purple"
"RNA45SN5","purple"
"RNA28SN2","purple"
"SCARNA5","turquoise"
"SNORA63","turquoise"
"RNU5A-1","turquoise"
"SCARNA2","turquoise"
"PARP2","turquoise"
"RNU4-1","turquoise"
"CYP1A2","blue"
"SNORA74B","turquoise"
"TSIX","grey"
"RNA18SN5","purple"
"HAMP","blue"
"RNA45SN3","purple"
"RNA18SN2","purple"
"RNA28SN1","purple"
"RNA45SN1","purple"
"SCARNA7","turquoise"
"RNA18SN1","purple"
"CYP3A4","blue"
"RNVU1-18","turquoise"
"CYP2E1","blue"
"SNORA79B","turquoise"
"SNORA54","turquoise"
"RNA28SN3","purple"
"SCARNA28","turquoise"
"SIRT4","turquoise"
"MT1G","blue"
"SEC22B4P","turquoise"
"SNORA49","turquoise"
"SNORA48","turquoise"
"RNA5-8SN3","purple"
"RNU5B-1","turquoise"
"SPINK1","blue"
"RPS4Y1","grey"
"AKR1B10","blue"
"C9","brown"
"SNORD13","turquoise"
"MIR3609","turquoise"
"SNORA53","turquoise"
"ADH4","brown"
"RNA18SN3","purple"
"PCK1","blue"
"CRP","brown"
"CYP2A6","brown"
"H1-4","turquoise"
"SCARNA6","turquoise"
"SNORD97","turquoise"
"SCARNA13","turquoise"
"HSD17B13","blue"
"RNA5-8SN4","purple"
"SNORD15B","turquoise"
"LINC01488","blue"
"IGHG1","black"
"RNY1","turquoise"
"SLC25A47","blue"
"MIR3648-1","purple"
"IGF2","blue"
"INS-IGF2","blue"
"TAT","brown"
"CLEC4M","blue"
"SNORD94","turquoise"
"GPC3","blue"
"RNU12","turquoise"
"MARCO","blue"
"SAA1","brown"
"KDM5D","grey"
"SNORA23","turquoise"
"CYP2B6","blue"
"FCN2","blue"
"HGFAC","blue"
"PLA2G2A","grey"
"SNORA12","turquoise"
"RNA5-8SN2","purple"
"IGKC","black"
"DDX3Y","grey"
"SLC22A1","brown"
"LOC107984805","turquoise"
"PEG10","blue"
"RNU5E-1","turquoise"
"MIR3648-2","purple"
"SNORD10","turquoise"
"TALAM1","turquoise"
"CYP2A7","brown"
"CHRNA4","blue"
"MALAT1","turquoise"
"SLCO1B3","blue"
"MT1H","blue"
"CLEC4G","blue"
"MT1F","blue"
"FCN3","blue"
"MT1E","blue"
"RNY3","turquoise"
"HPD","brown"
"GSTM1","grey"
"SDS","blue"
"UROC1","blue"
"HP","brown"
"LOC105375587","blue"
"SCARNA21","turquoise"
"CYP8B1","brown"
"RNA18SN4","purple"
"SAA2","brown"
"ASPG","blue"
"CPS1","brown"
"CYP2C8","brown"
"GLYAT","brown"
"ALDOB","brown"
"ADH1B","brown"
"CPS1-IT1","turquoise"
"IGHGP","black"
"TAT-AS1","brown"
"IGHG3","black"
"MT1M","blue"
"HRG","brown"
"IGHG2","black"
"HAO2","brown"
"LINC01093","blue"
"MFSD2A","blue"
"THRSP","blue"
"LOC105379574","turquoise"
"HPR","brown"
"APOF","brown"
"ADRA1A","blue"
"DCN","green"
"REG3A","grey"
"FOSB","green"
"ADH1C","brown"
"C3P1","brown"
"CYP2B7P","brown"
"IGLC2","black"
"IGHG4","black"
"SLCO1B3-SLCO1B7","blue"
"FAM99A","brown"
"C7","green"
"TTR","brown"
"UTY","grey"
"GCGR","brown"
"SCARNA12","turquoise"
"H19","grey"
"SNORA37","turquoise"
"WDR74","turquoise"
"SNORA47","turquoise"
"RNA5-8SN5","purple"
"TXLNGY","grey"
"MT1X","blue"
"XPNPEP2","grey"
"SPP1","brown"
"CXCL14","blue"
"TIALD","brown"
"APOA1","brown"
"CD5L","blue"
"CHI3L1","grey"
"CDHR2","blue"
"SCARNA17","turquoise"
"LINC01554","brown"
"IGHA1","green"
"HSD11B1","brown"
"IGLC3","black"
"GDF2","blue"
"CRHBP","blue"
"USP9Y","grey"
"CYP4A11","brown"
"CYP2C9","brown"
"SNORA71D","turquoise"
"ERVE-5","blue"
"IGF2BP1","blue"
"MIR612","turquoise"
"SNORA7B","turquoise"
"DHRS2","grey"
"BHMT","brown"
"GSTA2","brown"
"MME","blue"
"MOGAT2","brown"
"MT2A","blue"
"MUC13","blue"
"ZNF460","turquoise"
"ALB","brown"
"SPP2","brown"
"SNORA68","turquoise"
"MT-TP","purple"
"AFP","grey"
"CNDP1","blue"
"MUC3A","grey"
"SMIM24","turquoise"
"APOA1-AS","brown"
"AKR1D1","brown"
"SNORA38B","turquoise"
"F9","brown"
"SNORA50B","turquoise"
"ADH1A","brown"
"TERC","turquoise"
"SNORA52","turquoise"
"UGT2B10","brown"
"PZP","turquoise"
"CYP1A1","blue"
"COLEC10","blue"
"APOC3","brown"
"TTC36","blue"
"MT-ATP8","turquoise"
"LINC01018","brown"
"H4C5","turquoise"
"FABP1","brown"
"FREM2","blue"
"PKHD1","turquoise"
"CFHR3","brown"
"SLC1A2","blue"
"PGLYRP2","brown"
"LOC107987081","turquoise"
"SAA2-SAA4","brown"
"LOC105376789","brown"
"SNORA74A","turquoise"
"CYP7A1","brown"
"IGLL5","black"
"SCARNA9","turquoise"
"APOA5","brown"
"SLC10A1","brown"
"RDH16","brown"
"HAL","brown"
"TENM1","blue"
"IGLC1","black"
"SRD5A2","brown"
"FOS","blue"
"LOC107984315","turquoise"
"CYP4A22","brown"
"RNF138P1","turquoise"
"IGFALS","blue"
"UGT2B7","brown"
"CYP3A43","blue"
"HPX","brown"
"MIR675","grey"
"APOA4","grey"
"LOC112268210","blue"
"IGHM","black"
"GSTA1","brown"
"IDO2","blue"
"LOC646652","turquoise"
"SLC22A7","brown"
"LOC105371475","turquoise"
"PLG","brown"
"RNU6ATAC","turquoise"
"RNA5-8SN1","purple"
"AHSG","brown"
"GYS2","brown"
"MYH4","grey"
"NNMT","blue"
"IGFBP1","brown"
"CPLX2","blue"
"AFM","brown"
"ANKRD36C","turquoise"
"SAA4","brown"
"STAB2","blue"
"LECT2","brown"
"G6PC1","brown"
"ADCY1","blue"
"NAT2","blue"
"PTGDS","green"
"BCO2","blue"
"HEPACAM","blue"
"SERPINC1","brown"
"AKR1B15","blue"
