"","Diseased","Control"
"pink",3.90206110519222e-23,3.90206110519222e-23
"red",0.0348771354792547,0.0348771354792547
"grey",0.500215956495016,0.500215956495016
"purple",0.378734061043157,0.378734061043157
"turquoise",0.160895668313602,0.160895668313602
"black",2.94176061118707e-12,2.94176061118707e-12
"yellow",6.06360558268489e-14,6.06360558268489e-14
"magenta",3.18903760296226e-14,3.18903760296226e-14
"green",1.66914802599443e-33,1.66914802599443e-33
"brown",1.18510169155928e-43,1.18510169155928e-43
"blue",1.10376776224847e-114,1.10376776224847e-114
