"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0044282","small molecule catabolic process","130/3174","370/18805",0.351351351351351,2.08165159488411,9.46895138808362,8.12901777018074e-18,4.93187508116865e-14,3.96011518319963e-14,"ALDH2/GSTZ1/ARHGAP11B/AADAT/BDH2/ETFDH/ACADS/CYP26A1/NUDT1/ACAA1/BCKDHB/MIOX/MLYCD/GCDH/PKM/CYP39A1/ACAD11/KMO/AKR1B10/IVD/HMGCLL1/ECHS1/GOT2/AKR1D1/PGM1/ALDH8A1/ADH4/IDO2/PFKFB2/GAD1/AKR1C3/MAT1A/LDHD/HOGA1/FUT2/ASRGL1/CYP4A11/HMGCL/ACAA2/GLUD1/SARDH/SULT1A1/ALDH6A1/GK/ENO1/TDO2/ABCD1/ABAT/PCK1/QDPR/CBS/PON3/FUT1/ACACB/CBR3/ACOX2/ACAT1/MFSD2A/UROC1/GPT2/PCK2/ACADSB/RIDA/GLS2/SCP2/ECHDC2/SLC16A3/CYP4F2/SHMT1/DCXR/HK2/ALDOB/TKFC/GLUL/DHDH/CYP27B1/EHHADH/AMDHD1/PLIN5/TAT/ENO3/SLC27A2/SULT1A2/AGXT/HAAO/GLB1L3/ACADL/CDA/GPT/HAO1/FTCD/ALDH1B1/TKTL1/NOS2/XDH/CNR1/CYP4F12/PON1/OAT/AGXT2/HK3/HGD/SULT1E1/CYP1A1/HSD17B6/CDO1/PFKP/PRODH2/FMO1/ACMSD/PAH/HPD/ENO2/HAL/CYP26B1/SULT2A1/ARG1/SDS/CYP3A4/AASS/FABP1/OTC/CYP7A1/GLYATL2/DPEP1/NOS1/LEP/FGF23/TWIST1/UPP2",130
"GO:0071466","cellular response to xenobiotic stimulus","82/3174","198/18805",0.414141414141414,2.45366392341818,9.26602845679799,2.32182742735229e-16,7.04326350087316e-13,5.65548280725599e-13,"E2F1/CRHBP/ALDH2/EHMT2/MCM7/NQO1/CYP26A1/ACAA1/NAT1/RAP2A/FBP1/UCHL1/PCNA/TH/NAT2/CYP2C8/PDE2A/CYP2B6/ABCC4/CYP2C9/ACSL1/UGT2B7/ALDH3A1/SMOX/CYP2C19/SULT1A1/CYP1A2/WNK4/PRKAA2/GSTA4/PON3/CBR3/TFRC/CYP4F2/CYP2J2/ACSM1/FGF21/RORA/PPM1E/UGT2B11/SULT1A2/GLYAT/KCNQ3/CYP2E1/CYP2A7/SLC22A1/CERS1/CYP2D7/CYP2C18/BCHE/SULT1C3/SOX10/ABCC9/KCNH2/NR1I2/KCNC1/SLC10A1/NOS2/CYP4F12/HTR1B/CYP1A1/GRIN1/CD69/CYP2A6/NCEH1/FMO1/CYP2D6/ANKRD1/AOX1/GSTM2/CYP26B1/SLC28A2/SULT2A1/SLCO1B3/CYP3A4/SLCO1B1/S100A12/GSTA2/DPEP1/NOS1/CYP2A13/GSTM1",82
"GO:0016054","organic acid catabolic process","92/3174","242/18805",0.380165289256198,2.25236555276081,8.83588215676245,2.23000981742209e-15,3.38236739057495e-12,2.71591721974459e-12,"GSTZ1/ARHGAP11B/AADAT/BDH2/ETFDH/ACADS/CYP26A1/ACAA1/BCKDHB/MLYCD/GCDH/ACAD11/KMO/IVD/HMGCLL1/ECHS1/GOT2/AKR1D1/ALDH8A1/IDO2/GAD1/MAT1A/LDHD/HOGA1/ASRGL1/CYP4A11/HMGCL/ACAA2/GLUD1/SARDH/ALDH6A1/TDO2/ABCD1/ABAT/PCK1/QDPR/CBS/PON3/ACACB/ACOX2/ACAT1/MFSD2A/UROC1/GPT2/PCK2/ACADSB/RIDA/GLS2/SCP2/ECHDC2/SLC16A3/CYP4F2/SHMT1/DCXR/GLUL/EHHADH/AMDHD1/PLIN5/TAT/SLC27A2/AGXT/HAAO/ACADL/GPT/HAO1/FTCD/NOS2/CNR1/CYP4F12/PON1/OAT/AGXT2/HGD/CDO1/PRODH2/FMO1/ACMSD/PAH/HPD/HAL/CYP26B1/SULT2A1/ARG1/SDS/AASS/FABP1/OTC/GLYATL2/DPEP1/NOS1/LEP/TWIST1",92
"GO:0046395","carboxylic acid catabolic process","92/3174","242/18805",0.380165289256198,2.25236555276081,8.83588215676245,2.23000981742209e-15,3.38236739057495e-12,2.71591721974459e-12,"GSTZ1/ARHGAP11B/AADAT/BDH2/ETFDH/ACADS/CYP26A1/ACAA1/BCKDHB/MLYCD/GCDH/ACAD11/KMO/IVD/HMGCLL1/ECHS1/GOT2/AKR1D1/ALDH8A1/IDO2/GAD1/MAT1A/LDHD/HOGA1/ASRGL1/CYP4A11/HMGCL/ACAA2/GLUD1/SARDH/ALDH6A1/TDO2/ABCD1/ABAT/PCK1/QDPR/CBS/PON3/ACACB/ACOX2/ACAT1/MFSD2A/UROC1/GPT2/PCK2/ACADSB/RIDA/GLS2/SCP2/ECHDC2/SLC16A3/CYP4F2/SHMT1/DCXR/GLUL/EHHADH/AMDHD1/PLIN5/TAT/SLC27A2/AGXT/HAAO/ACADL/GPT/HAO1/FTCD/NOS2/CNR1/CYP4F12/PON1/OAT/AGXT2/HGD/CDO1/PRODH2/FMO1/ACMSD/PAH/HPD/HAL/CYP26B1/SULT2A1/ARG1/SDS/AASS/FABP1/OTC/GLYATL2/DPEP1/NOS1/LEP/TWIST1",92
"GO:0170035","L-amino acid catabolic process","43/3174","77/18805",0.558441558441558,3.30859908837224,9.14709907306483,9.04967124063938e-15,1.09808710833918e-11,8.81723757930085e-12,"GSTZ1/ARHGAP11B/AADAT/KMO/IVD/HMGCLL1/GOT2/ALDH8A1/IDO2/GAD1/MAT1A/ASRGL1/HMGCL/GLUD1/TDO2/QDPR/CBS/UROC1/GPT2/RIDA/GLS2/SHMT1/GLUL/AMDHD1/TAT/AGXT/HAAO/GPT/FTCD/NOS2/OAT/AGXT2/HGD/CDO1/PRODH2/ACMSD/PAH/HPD/HAL/ARG1/SDS/AASS/NOS1",43
"GO:1901605","alpha-amino acid metabolic process","80/3174","203/18805",0.394088669950739,2.33485741601249,8.61664654387824,1.48070985942661e-14,1.49724445285688e-11,1.20223249639059e-11,"SLC7A11/NOX4/GSTZ1/ARHGAP11B/AADAT/PSPH/PLOD3/PYCR1/TTC36/MSRA/TH/BCAT1/GCDH/KMO/ASPA/IVD/HMGCLL1/GOT2/ALDH8A1/IDO2/GAD1/MAT1A/HOGA1/ASS1/ASRGL1/HMGCL/GLUD1/SARDH/GLYATL1/ALDH6A1/TDO2/ASPG/NAT8L/QDPR/CTH/CBS/ASL/OCA2/ACAT1/MMUT/UROC1/GPT2/ACADSB/RIDA/MTHFD1/GLS2/SHMT1/GLUL/AMDHD1/TAT/BHMT/AGXT/GLYAT/HAAO/ASNS/GNMT/GPT/HAO1/FTCD/ART4/NOS2/IYD/OAT/AGXT2/SLC38A1/HGD/CDO1/PRODH2/ACMSD/PAH/HPD/HAL/ARG1/SDS/CPS1/AASS/OTC/DPEP1/NOS1/NDP",80
"GO:0042391","regulation of membrane potential","144/3174","463/18805",0.311015118790497,1.84267148987249,8.2729548194858,1.8376908407143e-14,1.59275290437338e-11,1.27892228734222e-11,"GBA1/CDKN2A/GABRD/MAPT/BCO2/EHD3/GJC1/GNA14/MAPK8IP2/PYCR1/NRCAM/KCNN2/CLIC1/ABCB5/TREM2/MLLT11/ASIC1/KCNE5/KCNJ5/ADRA1A/BAK1/MTNR1B/ALB/FGF12/SYNE1/CHRNA5/ABCD1/SRI/SCN4A/TMEM25/ABAT/SEZ6/GABRE/ACTN2/CTNNA3/POPDC3/LRRK2/CCN6/KCNF1/DMD/STX1A/RIMS2/KCND3/KCNE3/GPR35/SLC4A11/CHRNA1/GJA5/CACNB2/FGF13/KCNK9/GABRA3/SLC4A4/TBX18/KCNH4/FXYD1/ATP1B3/CLDN19/CHRNA3/STOX1/KCNQ3/GJA1/KCNH6/ANK3/CHRNB4/SLC34A1/ABCC9/HCN2/CACNB4/KCNH2/KCNE1/KCNC1/GRIA2/GABRA2/SLC26A3/CNR1/KCNJ11/KCNJ8/SLC24A4/GRIN1/MPP2/DCN/CLCN1/SCN4B/CHRFAM7A/CACNA1G/KCNJ10/SLC4A3/HTR3B/GRIK4/INSYN1/GRM5/CHRND/GPR88/CACNA1I/RYR2/TMEM108/ATP1A4/ABCC8/ADRB1/TAFA4/GRIN2D/CHRNA7/CUX2/KCNA3/CFTR/ADORA1/GRIN2B/GRIK2/KCNG3/GRIA4/SCN7A/GRIK3/GABRR1/DRD1/OPRD1/CBLN1/KCNE4/CASQ2/GRIN2A/WNT7A/CHRNA4/GABRB1/NRXN1/KCNK2/NLGN1/NOS1/GABRA5/SLC1A7/GLRA3/HTR3A/SLC8A2/CHRNA6/FZD9/GABRB2/KCNG1/NETO1/GABRG3/KCNH5/NDP/TRDN/GABRG2/KCNV1/GRID2",144
"GO:1901606","alpha-amino acid catabolic process","49/3174","98/18805",0.5,2.96235034656585,8.77652737968442,4.17831342715809e-14,3.16872844532102e-11,2.54437296590627e-11,"GSTZ1/ARHGAP11B/AADAT/KMO/IVD/HMGCLL1/GOT2/ALDH8A1/IDO2/GAD1/MAT1A/HOGA1/ASRGL1/HMGCL/GLUD1/SARDH/ALDH6A1/TDO2/QDPR/CBS/ACAT1/UROC1/GPT2/ACADSB/RIDA/GLS2/SHMT1/GLUL/AMDHD1/TAT/AGXT/HAAO/GPT/FTCD/NOS2/OAT/AGXT2/HGD/CDO1/PRODH2/ACMSD/PAH/HPD/HAL/ARG1/SDS/AASS/OTC/NOS1",49
"GO:0170040","proteinogenic amino acid catabolic process","42/3174","77/18805",0.545454545454545,3.23165492352638,8.84223197748107,5.59075002142538e-14,3.76878670888753e-11,3.02619778937505e-11,"GSTZ1/ARHGAP11B/AADAT/KMO/IVD/HMGCLL1/GOT2/IDO2/GAD1/MAT1A/ASRGL1/HMGCL/GLUD1/TDO2/QDPR/CBS/UROC1/GPT2/RIDA/GLS2/SHMT1/GLUL/AMDHD1/TAT/AGXT/HAAO/GPT/FTCD/NOS2/OAT/AGXT2/HGD/CDO1/PRODH2/ACMSD/PAH/HPD/HAL/ARG1/SDS/AASS/NOS1",42
"GO:0170039","proteinogenic amino acid metabolic process","69/3174","167/18805",0.413173652694611,2.44793022650351,8.46918105179165,6.22028289069407e-14,3.77384562978409e-11,3.03025991769812e-11,"SLC7A11/GSTZ1/ARHGAP11B/AADAT/PSPH/PLOD3/PYCR1/TTC36/MSRA/TH/BCAT1/GCDH/KMO/ASPA/IVD/HMGCLL1/GOT2/IDO2/GAD1/MAT1A/ASS1/ASRGL1/HMGCL/GLUD1/GLYATL1/TDO2/ASPG/NAT8L/QDPR/CBS/ASL/OCA2/UROC1/GPT2/RIDA/MTHFD1/GLS2/SHMT1/GLUL/AMDHD1/TAT/BHMT/AGXT/GLYAT/HAAO/ASNS/GNMT/GPT/HAO1/FTCD/NOS2/IYD/OAT/AGXT2/SLC38A1/HGD/CDO1/PRODH2/ACMSD/PAH/HPD/HAL/ARG1/SDS/CPS1/AASS/OTC/NOS1/NDP",69
