"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030527","structural constituent of chromatin","58/3244","98/18639",0.591836734693878,3.40050705855708,10.9370369177069,1.81834075282671e-20,2.35293293415776e-17,1.9102148119169e-17,"CENPA/HMGA1/H2AX/H2AZ1/H2AC13/H3C2/H4C14/H4C15/H3C15/H3C14/H2AC17/H2AC12/H4C8/H2BC11/H3C3/H2BC8/H1-5/H2BC17/H3C10/H2AC19/H2AC18/H3C4/H2BC18/H3C13/H2BC15/H2AC7/H2BC7/H2AC4/H2AC16/H1-4/H4C4/H4C1/H4C5/H2AC11/H2BC21/H2AC20/H2AC8/H2BC9/H4C9/H2BC13/H3C11/H2BC6/H2AC15/H3C8/H1-2/H2AC25/H3C1/H3C12/H2BC3/H1-1/H3C7/H1-6/H2BC26/H4C2/H1-3/H2BC10/H2BC14/H4C13",58
"GO:0005201","extracellular matrix structural constituent","70/3244","168/18639",0.416666666666667,2.39403514180025,8.33169548321987,1.17562021133312e-13,7.60626276732529e-11,6.17509984689713e-11,"ESM1/ECM1/LAMC1/COL15A1/CTHRC1/COL2A1/LAMA4/COL25A1/MATN3/COL11A1/COL6A6/ACAN/COL4A1/TUFT1/EDIL3/LAMA3/COL24A1/SPOCK1/COL1A1/COMP/CD4/COL4A2/COL8A1/COL9A1/COL5A2/ZP3/POSTN/VCAN/COL7A1/COL1A2/FGB/SPARC/MFAP2/COL22A1/TECTA/VWF/MFGE8/SRPX/FGA/FGG/LAMB3/PODNL1/COL21A1/COL4A5/COL9A2/FBN3/MMRN1/LTBP2/HAPLN4/DPT/COL4A6/DCN/HAPLN1/MGP/MFAP4/COL6A3/COL3A1/DSPP/THBS2/COL5A1/MFAP5/MUC6/COL5A3/COL16A1/COL17A1/FBLN1/EFEMP1/CHI3L1/OPTC/MEPE",70
"GO:0022836","gated channel activity","108/3244","318/18639",0.339622641509434,1.95136449293907,7.85481825950002,5.20863390818925e-13,2.24665742573229e-10,1.82393566328873e-10,"GABRD/KCNN2/TMC7/LRRC55/ANO10/ASIC1/PACC1/KCNE5/KCNJ5/CACNG4/CLCNKA/GABRQ/CHRNA5/GABRE/KCNF1/MCOLN3/CACNA1E/KCND3/KCNE3/NALF2/CHRNA1/KCNN3/CACNB2/TMC5/KCNK9/ANO2/KCNK17/GABRA3/SLC1A5/KCNH4/TRPV4/CHRNA3/LRRC26/KCNQ3/KCNH6/CHRNB4/ABCC9/HCN2/CACNB4/KCNH2/KCNE1/KCNC1/GRIA2/GABRA2/KCNJ11/CNGA1/KCNJ8/NCS1/GABRR3/HTR1B/TRPM2/SNAP25/GRIN1/TMC1/CLCNKB/CATSPER1/CLCN1/KCNJ6/CHRFAM7A/CACNA1G/KCNJ10/HTR3B/GRIK4/CHRND/TMC2/ANO4/CACNA1I/RYR2/ABCC8/GRIN2D/CACNG8/CHRNA7/KCNA3/CFTR/CACNA2D3/KCNJ15/KCNJ16/KCNN1/GRIN2B/GRIK2/KCNG3/GRIA4/SCN7A/GRIK3/GABRR1/KCNE4/GRIN2A/TRPM5/CHRNA4/GABRB1/KCNK2/ASIC4/GABRA5/SLC1A7/CACNA1S/GLRA3/HTR3A/CHRNA6/GABRB2/KCNG1/GABRG3/KCNH5/LRRC52/CNGB3/GABRG2/KCNV1/BEST3/GRID2",108
"GO:0046873","metal ion transmembrane transporter activity","139/3244","450/18639",0.308888888888889,1.77477805178792,7.63711595560979,1.0377976318047e-12,3.35727533888821e-10,2.72558430668709e-10,"KCNN2/SLC39A1/SLC6A8/TMCO3/LRRC55/TRPC6/GPM6A/SLC38A2/ASIC1/KCNE5/KCNJ5/CACNG4/SLC9B2/SLC6A9/SLC23A2/SLC41A2/KCNU1/SLC6A13/SLC41A1/SCN4A/SLC38A4/KCNF1/MCOLN3/MFSD2A/CACNA1E/SLC30A3/KCND3/KCNE3/NALF2/SLC4A11/KCNN3/CACNB2/KCNK9/SLC5A1/KCNK17/SLC1A3/SLC34A3/SLC6A12/SLC4A4/TRPV3/KCNH4/TRPV4/LRRC26/KCNQ3/KCNH6/SLC22A1/SLC5A11/SLC34A1/SLC39A12/SLC39A5/ABCC9/HCN2/CACNB4/KCNH2/KCNE1/SLC39A4/NIPAL1/KCNC1/SLC30A8/SLC10A1/SLC5A7/KCNJ11/CNGA1/KCNJ8/SLC24A4/SLC13A5/NCS1/SLC38A1/HTR1B/TRPM2/SLC6A14/SLC46A3/SNAP25/GRIN1/SLC6A3/TMC1/CATSPER1/SLC17A1/KCNJ6/SCN4B/SLC1A1/CACNA1G/KCNJ10/SLC30A2/SLC4A10/SLC17A8/TRPC7/GRIK4/SLC28A2/SLC17A2/SLC6A2/SLC24A5/TMC2/CACNA1I/SLC28A1/RYR2/SLC12A1/ATP1A4/SLC6A7/ABCC8/GRIN2D/CACNG8/CHRNA7/KCNA3/CACNA2D3/KCNJ15/KCNJ16/SLC11A1/KCNN1/GRIN2B/GRIK2/TRPV5/TRPM6/KCNG3/SLC1A2/SCN7A/GRIK3/ATP4A/KCNE4/PANX3/GRIN2A/TRPM5/SLC6A20/SLC9C2/SLC10A4/KCNK2/ASIC4/SLC1A7/CACNA1S/SLC9A2/SLC8A2/SLC5A5/KCNG1/SLC9C1/KCNH5/LRRC52/SLC6A18/KCNV1/SLC6A15",139
"GO:0030594","neurotransmitter receptor activity","47/3244","97/18639",0.484536082474227,2.78399138139245,8.08631323869607,1.90459132920849e-12,4.92908235999157e-10,4.00164662431594e-10,"GABRD/CHRM4/HTR1D/GPR158/CHRM3/GABRQ/CHRNA5/GABRE/CHRNA1/HTR2A/GABRA3/HTR4/CHRNA3/CHRNB4/GRIA2/GABRA2/GABRR3/HTR1B/CHRM2/HTR1F/GRIN1/CHRFAM7A/HTR3B/GRIK4/GRM5/CHRND/ADRB1/GRIN2D/CHRNA7/GRIN2B/GRIK2/GRIA4/GRIK3/GABRR1/DRD1/GRIN2A/CHRNA4/HTR2C/GABRB1/GABRA5/GLRA3/HTR3A/CHRNA6/GABRB2/GABRG3/GABRG2/GRID2",47
"GO:0005216","monoatomic ion channel activity","137/3244","448/18639",0.305803571428571,1.75705079157125,7.44536456171096,3.42032336280922e-12,7.37649738579189e-10,5.98856616856773e-10,"GABRD/SLC26A6/GJC1/KCNN2/TMC7/LRRC55/ANO10/SLC1A4/TRPC6/CLIC1/GPM6A/ASIC1/PACC1/KCNE5/KCNJ5/CACNG4/CLCNKA/GABRQ/KCNU1/FXYD3/CHRNA5/SCN4A/GABRE/KCNF1/MCOLN3/OCA2/CACNA1E/KCND3/KCNE3/NALF2/SLC4A11/CHRNA1/KCNN3/CACNB2/TMC5/KCNK9/ANO2/KCNK17/GABRA3/TRPV3/KCNH4/FXYD1/TRPV4/CHRNA3/LRRC26/TPTE/KCNQ3/KCNH6/CHRNB4/ABCC9/HCN2/CACNB4/KCNH2/KCNE1/KCNC1/GRIA2/GABRA2/KCNJ11/CNGA1/KCNJ8/SLC24A4/NCS1/GABRR3/HTR1B/TRPM2/SNAP25/GRIN1/SLC26A7/TMC1/CLCNKB/CATSPER1/CLCN1/KCNJ6/CLDN4/SCN4B/SLC1A1/CHRFAM7A/CACNA1G/KCNJ10/SLC17A8/TRPC7/HTR3B/GRIK4/CHRND/CLIC5/SLC24A5/TMC2/ANO4/CACNA1I/RYR2/ABCC8/GRIN2D/CACNG8/CHRNA7/KCNA3/CFTR/CACNA2D3/KCNJ15/KCNJ16/KCNN1/GRIN2B/GRIK2/TRPV5/TRPM6/KCNG3/GRIA4/SCN7A/GRIK3/SLC26A9/GABRR1/KCNE4/PANX3/GRIN2A/TRPM5/CHRNA4/GABRB1/KCNK2/ASIC4/GABRA5/SLC1A7/CACNA1S/CLIC6/GLRA3/HTR3A/BSND/CHRNA6/GABRB2/KCNG1/SLC9C1/GABRG3/KCNH5/LRRC52/CNGB3/GABRG2/KCNV1/BEST3/GRID2",137
"GO:0015081","sodium ion transmembrane transporter activity","65/3244","164/18639",0.396341463414634,2.27725293976121,7.54148447394051,1.27939132157213e-11,2.36504624302047e-09,1.92004893072027e-09,"SLC6A8/SLC38A2/ASIC1/SLC9B2/SLC6A9/SLC23A2/SLC6A13/SLC41A1/SCN4A/SLC38A4/MCOLN3/MFSD2A/SLC4A11/KCNK9/SLC5A1/SLC1A3/SLC34A3/SLC6A12/SLC4A4/TRPV3/SLC22A1/SLC5A11/SLC34A1/HCN2/SLC10A1/SLC5A7/CNGA1/SLC24A4/SLC13A5/SLC38A1/TRPM2/SLC6A14/GRIN1/SLC6A3/SLC17A1/SCN4B/SLC1A1/SLC4A10/SLC17A8/GRIK4/SLC28A2/SLC17A2/SLC6A2/SLC24A5/SLC28A1/SLC12A1/ATP1A4/SLC6A7/GRIK2/SLC1A2/SCN7A/GRIK3/ATP4A/TRPM5/SLC6A20/SLC9C2/SLC10A4/ASIC4/SLC1A7/SLC9A2/SLC8A2/SLC5A5/SLC9C1/SLC6A18/SLC6A15",65
"GO:0022824","transmitter-gated monoatomic ion channel activity","34/3244","63/18639",0.53968253968254,3.10084551699841,7.66723053559045,4.95234727964817e-11,7.12037486651637e-09,5.78063460244313e-09,"GABRD/GABRQ/CHRNA5/GABRE/CHRNA1/GABRA3/CHRNA3/CHRNB4/GRIA2/GABRA2/GABRR3/GRIN1/CHRFAM7A/HTR3B/GRIK4/CHRND/GRIN2D/CHRNA7/GRIN2B/GRIK2/GRIA4/GRIK3/GABRR1/GRIN2A/CHRNA4/GABRB1/GABRA5/GLRA3/HTR3A/CHRNA6/GABRB2/GABRG3/GABRG2/GRID2",34
"GO:0022835","transmitter-gated channel activity","34/3244","63/18639",0.53968253968254,3.10084551699841,7.66723053559045,4.95234727964817e-11,7.12037486651637e-09,5.78063460244313e-09,"GABRD/GABRQ/CHRNA5/GABRE/CHRNA1/GABRA3/CHRNA3/CHRNB4/GRIA2/GABRA2/GABRR3/GRIN1/CHRFAM7A/HTR3B/GRIK4/CHRND/GRIN2D/CHRNA7/GRIN2B/GRIK2/GRIA4/GRIK3/GABRR1/GRIN2A/CHRNA4/GABRB1/GABRA5/GLRA3/HTR3A/CHRNA6/GABRB2/GABRG3/GABRG2/GRID2",34
"GO:0019825","oxygen binding","23/3244","34/18639",0.676470588235294,3.88678646551099,7.73373900621379,1.25593908545242e-10,1.62518517657543e-08,1.31939706029633e-08,"CYP26A1/TH/CYP17A1/ALB/CYP2C19/HBA1/TDO2/HBA2/CYP19A1/CBS/HBB/HBD/CYP2E1/CYP2A7/CYP2C18/CYP1A1/CYP8B1/CYP3A4/HBG1/MB/HBG2/CYP4B1/HBE1",23
